,Comment,mean,cleaned,cleaned 2,final cleaned,Human Annotation
59,great video it answered a lot of basic question for me in getting started with dropbox i have a few question hopefully they will be of help to others in similar situation 1 if i upload my macbook pro is 3tb photo library to my unlimited dropbox account will the file also use up an additional 3tb from my macbook pro is internal ssd i hope that the answer is no 2 can i open this 3tb uploaded photo library from another macbook air ipad or iphone that only ha let is say a 256gb ssd 3 if i delete this 3tb photo library from my macbook pro is ssd will it remain in dropbox and still be accessed from all my o io device including my macbook pro thank you in advance for your assistance,-0.008333333,-1,0,-1,
60,this is my question too did you get an answer,0.266515152,1,1,1,
61,fine,0.183181818,1,0,0,
62,great intro thank you,0.29469697,1,1,1,
63,how we recover delt email id of our client in dropbox,0.44469697,1,1,1,
64,,0.489393939,1,1,1,
65,i need the part where i move from dropbox back to desktop a folder with word document in it i put in dropbox i downloaded it then tried to move from the download file folder into document and the vlc cone showed up like it had changed to a medium file folder,0.238333333,1,1,1,
66,excellent video thank you you are a clear and helpful teacher i am adding this a a bookmark,0.29469697,1,1,1,
67,yes i need a much information a possible,0.312878788,1,1,1,
68,i accidently merged my file into a client main account and do not know how to reverse it i can not find a phone number for db support any hint,0.44469697,1,1,1,
69,,0.489393939,1,1,1,
70,do not know if you got sorted but i went to their fb page and messaged them and someone supported me from there,0.283030303,1,1,1,
71,i have uploaded a lot of video for a project is there any way to shuffle the order within the file once uploaded i can not see a way to do this thanks,0.489393939,1,1,1,
72,you can rename file with number sequence or date and number seq and sort by name,0.076666667,-1,0,-1,
73,there is a typo in their system but they simply can not correct it the social security office want me to put an original birth certificate original social security card original driver is license and any remaining original document that i have in a dropbox then they will get back to me the problem i have is if i put all those original document in that box and somebody break it open they have the key necessary to steal my entire life for a typo i am not going to risk somebody stealing my identity over p these office have been closed for almost 3 year with all these vaccine mandate they still will not go to work,-0.078333333,-1,0,-1,
74,nice presentation are we able to upload email from gmail on to dropbox thanks zev,-0.078333333,-1,0,-1,
75,i like it,0.1,1,0,0,
76,i have some noob question i deleted an ebook that i had access to because i thought i wa deleting my copy yep fortunately the author could undo my damage is there not a way for the author to keep noobs like me from doing that again,0.1,1,0,0,
77,do not delete thing tina,0.1,1,0,0,
78,thanks this ha been very helpful to me a i have not been using dropbox much in the last year or so but now have a couple of project where i need to share some file that are larger than outlook will send my only problem with dropbox is the app doe not work on my win10 machine after downloading and installing the app when i open it all i get is the file explorer box for the dropbox folder there is no place for me to log in to open dropbox i must log in from the website and then my screen look like the screen from this video,0.1,1,0,0,
79,2 15,0.1,1,0,0,
80,11 18,0.1,1,0,0,
81,8 16,0.1,1,0,0,
82,yup best tutorial video,0.1,1,0,0,
83,this video wa very useful thank you very much,0.1,1,0,0,
84,great video simple amp effective thanks,0.1,1,0,0,
85,12 01 2021 thank you for sharing your knowledge with people like me who are using dropbox for the first time i can not see my own comment note i wrote to a client when i shared a folder with them to download the file within the folder i am sure my comment note is in front of my eye but i can not find them could it be the way i am viewing my dropbox account,0.1,1,0,0,
86,i like your presentation thank you,0.1,1,0,0,
87,i am a newbie and still a bit confused so far this is the best tutorial video thank you,0.1,1,0,0,
88,ty for sharing your knowledge,0.1,1,0,0,
89,i love dropbox and have been using it for year a always i learned something new from you with practically every video thank you,0.1,1,0,0,
90,thanks for sharing video,0.078608495,-1,0,-1,
91,thank you,0.071527778,-1,0,-1,
92,another thing to keep in mind pick one that will be around in the future,0.185,1,0,0,
93,what about mega,0.203012821,1,1,1,
94,if i will buy idrive plan will there any limit of file link expire or it will be for lifetime until i will not delete the file from my idrive please reply it is urgent,0.12,1,0,0,
95,could you go over how they handle multiple user saving to the same file kinda like oedrive allows multiple people to edit a excel document at the same time,0.06,-1,0,-1,
96,how would you expect the upload and download speed to change with gigabit google fiber internet i just ran a few random speed test and had 400 900 mbps from different test site,0.008333333,-1,0,-1,
97,the google suite in it entirety is a pretty solid deal 2tb file storage across drive gmail and photo can go a long way the new vpn service is also very nice and easy to use i have noticed that some other service require manual upload but drive desktop application doe so in the background without any user input much like onedrive,0.279807692,1,1,1,
98,wa this video louder then your other one i would have liked a this is when a na would make more sense financially comparison e g my so and me have 5 computer between u and using time machine for the mac and macrium for the pc is crucial for u to make sure we can continue working without data loss a soon a a replacement part or replacement machine arrives or sometimes even before that just in case of hardware failure on those machine for her a a teacher it is crucial to not loose all her prepared course and test which can rack up quite the volume for me a a developer it is mostly the uninterrupted continuation of work in case of hardware failure since most of the crucial data is either on git repos or in case of documentation and project management data on other saas service what many people also seem to not know is that in the office365 family subscription every member get 1tb of cloud storage which is more then enough for most use case and i would wager a guess that a ton of people have an office365 subscription if you ever do a cloud storage v na what is the best fit for you video could you also try to find out why hdd drive are seemingly not getting cheaper nowadays is it really just that all the r amp d is in ssds and not hdds,-0.065625,-1,0,-1,
99,ah yes avg one od the best malware downloading software available on the market,0.144391026,1,0,0,
100,i have microsoft 365 family which come with 1tb of storage for each user so far everything ha gone swimmingly 4 year of experience,0.125,1,0,0,
101,what about mega,0.125,1,0,0,
102,excellent review of some of the dominant provider clear and concise bearing in mind that not all platform are zero knowledge encrypted and dropbox for example openly state that it will scan user data and allow some third party to do the same using a completely independent encryption software is a necessity no matter the cloud storage provider is data security policy including compliance with request from legal authority your data will always be private,0.079166667,-1,0,-1,
103,thank you yep most of the big cloud name will do that great to have option such a sync surprised apple actually performs quite well there to set your own encryption though they still scan your photo for face matching etc which is interesting how they achieve that on encrypted data,0.003125,-1,0,-1,
104,agreed on sync is poor performance when it come to speed i use it however because it us zero knowledge encryption which a a freelancer is important to protect client data if sync ever improved their speed though to the like of dropbox it would be perfect,0.513782051,1,1,1,
105,yep exactly this trade off on speed v security it seems they cap transfer speed at 40mb s which kinda suck but it is great for zero knowledge,0.077777778,-1,0,-1,
106,which of them ha linux client pcloud ha i use it what about others,0.011111111,-1,0,-1,
107,pcloud and mega have linux client i used to use a program called insync to sync my onedrive to linux but it cost dollar25 and i am not sure if it is available everywhere,0.109188034,1,0,0,
108,what happens if you lose your yubi key can you still recover the access to your data,0.309188034,1,1,1,
109,pete matheson ah gotcha,0.159188034,1,0,0,
110,always buy 2 so you have one a a backup,0.066666667,-1,0,-1,
111,wondering if the table behind you bow under the weight of the monitor or do you have a upright support in the middle of the desk,0.066666667,-1,0,-1,
112,pete matheson nice i thought it wa a ikea one that people mod with ikea drawer to each side,0.233333333,1,1,1,
113,never had any issue with my desk bowing under the weight of my monitor it is an ergodesk though,-0.040277778,-1,0,-1,
114,man these price are salty if you are solo user and have 10tb of data and live in nordic country i have tried backblaze and crashplan but their nearest server are in netherlands so my uploadspeed peak at 3megabits p not megabyte megabit p,0.155555556,1,0,0,
115,what about nextcloud and other self hosted alternative,0.022222222,-1,0,-1,
116,at 0 41 google drive 2 tb storage but at 3 44 you mention a 5 tb online file limit am i misreading something how can an online file storage limit exceed the total storage capacity thanks,-0.133333333,-1,0,-1,
117,yep this,0.066666667,-1,0,-1,
118,i think that is if you add more storage the max a single file can be is still 5tb,0.020833333,-1,0,-1,
119,cloud storage is excellent but security concern is always there not just for a data breach but also for what the tech giant are doing with your data i always recommend starting using an open source encryption solution cryptomator work like a charm and your data in the cloud is hyper secure and indeed just for you,0.216666667,1,1,1,
120,i have the apple icloud 2tb family plan for dollar9 99 four line then i recently added google 100g service for dollar9 99,-0.045595238,-1,0,-1,
121,paid review in best cloud storage no name of mega and icedrive,0.020992063,-1,0,-1,
122,so because i did not include your favourite it is paid it is literally sponsored by someone who ha nothing to do with cloud storage,0.200833333,1,1,1,
123,one point i believe you miss out is some provider have life time plan one pay boom thats it icrease the value significan notly for some option and is a true game changer,0.16952381,1,0,0,
124,very true i did mention that in my previous review but it made the video too long to explain so decided to cut that part this year but very valid point,0.001714286,-1,0,-1,
125,great video and coverage i have recently moved to aws deep glacier and redundancy via idrive no more google workspace,-0.01,-1,0,-1,
126,what about mega,0.096755952,-1,0,-1,
127,,0.670833333,1,1,1,
128,nice video but why do you accept an avg sponsorship even though in you antivirus tier list you did not put them up high,0,-1,0,-1,
129,because money,-0.441071429,-1,0,-1,
130,because people like avg help me continue to make all of these video for everyone to watch for free,-0.00452381,-1,0,-1,
131,hey pete link re yubi key please,0.008928571,-1,0,-1,
132,hey pat great to see you here link added to the description and here too,-0.333333333,-1,0,-1,
133,can not believe those price they should be 10dollar a year you can buy a 1tb hdd for so cheap and make your server for so cheap with a raspberry,0.461111111,1,1,1,
134,really do you living in a cave,0.1,-1,0,-1,
135,not really a fair comparison with all the benefit these service give compared to a cheap hard disk that could fail or be dropped and stored in a single location,-0.025555556,-1,0,-1,
136,what do u think about proton drive,0.058928571,-1,0,-1,
137,opinion of tera box thanks for this review,-0.071071429,-1,0,-1,
138,do not use it it is china based,-0.071071429,-1,0,-1,
139,wow nice video,0.058928571,-1,0,-1,
140,thanks,0.058928571,-1,0,-1,
141,i remember back when i thought idrive wa icloud,-0.006785714,-1,0,-1,
142,pete matheson yup,0.058928571,-1,0,-1,
143,kinda confusing in name eh,0.058928571,-1,0,-1,
144,kindly sponsored by avg get avg home and business product here are you thinking of switching from google drive or icloud if so which one tickle your fancy,0.117857143,1,0,0,
145,i would like to see dropbox offer lifetime membership for a fixed price like pcloud doe,0.058928571,-1,0,-1,
146,hey when can we expect a new update in onenote please do tell is there anywhere i join a beta,-0.071071429,-1,0,-1,
147,all great but again mostly for business and team nothing new for age with the person who just want to access their file although search is brilliant and will easily find an object in text document and within a picture even what if i have copy of my main folder like most people would and want to now automate that a a backup so going from a manual copy each time we want to sync our dropbox folder structure to an automated one,-0.55,-1,0,-1,
148,dropbox is pretty overpriced when compared to onedrive google drive and other cloud storage provider making enterprise customer your main focus is fine but do not intentionally make a consumer product that is pretty transparently bad just to upsell people,-0.55,-1,0,-1,
149,i do not know if it is bad per se it is just that 2tb a a basic consumer plan is gross overkill for most people,-0.35,-1,0,-1,
150,yes i will prob swap to one drive although dropbox is expensive and now aimed at business and also fairly stagnant in it feature for non business people it is still very stable and work perfectly a a pc drive,0.044944236,-1,0,-1,
151,,0.09462564,-1,0,-1,
152,but how doe it work,0.096843672,-1,0,-1,
153,your dedication and hard work show legit and professional you are i will always recommend you for successfull recovery of my phrase,0.071178075,-1,0,-1,
154,it is amazing i gave him a leap of faith and he delivered a perfect service i got my 12 world phrase,0.031638709,-1,0,-1,
155,if you want this download from link below,-3.06E-05,-1,0,-1,
156,i am so thankful for this video because i now know what dropbox is and how exactly it work this will be useful to also explain everything about it to the stuff where i work,0.129946849,1,0,0,
157,have a full dropbox i do not use insta or am i a photogr i am an amateur photog however and all my instant cell pic i transfer to my computer doe this fill up drpbx actaully i do not even see the app anywhere i want to cancel it how do i unclutter the space,0.13358066,1,0,0,
158,oh i thought you are anne hathaway,0.176808081,1,0,0,
159,buyer beware my experience of dealing with dropbox over a number of year ha been almost entirely negative fee keep going up for annual subscription and higher licence option if not quickly stopped in their track are automated this company seems masterful at presenting service option that at first glance appear straightforward and useful but on closer examination are ingeniously designed to trap unsuspecting customer in to paying for service they would not have chosen if clear information wa made available to them in the first place moreover in my view dropbox obfuscates and dissociates it corporate responsibility when dealing with customer who believe they have been unfairly treated yesterday i cancelled my dropbox subscription and requested no further correspondence characteristically a if to underline dropbox front line staff impertinence or lack of intelligence a further email arrived an hour ago hi there if there is anything else you need do not hesitate to reach out regard derek,0.067877449,-1,0,-1,
160,ha the first thing it did wa mess up my desktop then jacked my computer i am out a there,0.129166667,1,0,0,
161,great explanation,0.002987816,-1,0,-1,
162,dropbox a racist company just know if you are white they do not want you there look it up,0.127845982,1,0,0,
163,drop box is racist and sexist if you are white and straight they wont hire you,0.160015847,1,0,0,
164,sound like dropbox is just a glorified cloud based storage,0.157779602,1,0,0,
165,all dropbox doe is take the control of your machine out of your hand how much are you paid to advertise this total spying software to this extend please make a clip a to how to remove dropbox from your machine once and for all and get your sanity back,0.092362314,-1,0,-1,
166,very helpful,0.148812305,1,0,0,
167,i still have no idea how dropbox work she must be a public school teacher jeez,0.156427686,1,0,0,
168,that is what i thought i have no clue what dropbox is or how to use it i do not want it,0.171553707,1,0,0,
169,mouth like a letterbox and no useful information,0.014662698,-1,0,-1,
170,dropbox is a mess it will take you 25 minute to find the download button it is a messy platform,0.08825364,-1,0,-1,
171,mam can we find any application which can send sm to mobile after sharing file instantly,0.021915404,-1,0,-1,
172,found this video helpful while starting gradschool with a professor who hate using the university blackboard,0.053280896,-1,0,-1,
173,what wa this six minute of jabber where is dropbox how doe one get item from one place to another wa this a tryout for a screen play all i could see were lip and teeth what a waist of time,0.404160995,1,1,1,
174,i always wondered what dropbox wa i did down load it before but when i opened it it asked me to sign up but it did not explain what dropbox wa at first so i never signed up now i know what it is i know i do not need it,0.028640955,-1,0,-1,
175,would not drop box take up phone space help please,0.070441364,-1,0,-1,
176,is this a good platform to use for tutorial and online game for online tutoring for zoom i still can not after many try to share a video or visual i ve made on zoom that came from a shared file google drive,0.113383838,1,0,0,
177,dropbox is a compared to google sheet,0.181481481,1,0,0,
178,stay on topic ahhhhhhhhhhh,0.010564246,-1,0,-1,
179,is this paid advertising a big commercial for drop box,0.533719487,1,1,1,
180,thank your,0.082839506,-1,0,-1,
181,did not know tailor swift in her free time make software video o0o,0.020092593,-1,0,-1,
182,you are nose,0.121111111,1,0,0,
183,in my opionion someone listen in see going from home like said only my opionion,0.272222222,1,1,1,
184,what if i do not have a buisness,0.133893141,1,0,0,
185,should change name of this youtube from what is dropbox and how doe it work to what is dropbox watched first 3 minute to get a better understanding of what dropbox is from there clicked ahead to find out how it work and do not believe video show any screen of actually using,-0.064994331,-1,0,-1,
186,super informative i am a aerial photographer and this will be so useful,0.240972222,1,1,1,
187,yeah,0.106944444,1,0,0,
188,did not learn a thing,0.107916667,1,0,0,
189,this video could have been 2 00 minute long,0.097916667,-1,0,-1,
190,3 32 min into the clip and still nothing about how it work no point talking about photograph and instagrams when i need to know how to operate dropbox,0.241666667,1,1,1,
191,i accidentally put almost all my file into dropbox how do i get then out,0.051672336,-1,0,-1,
192,the example you gave is to drop your picture in dropbox and then upload it to instagram but why not just upload it directly to instagram this will just add a layer without any additional benefit what did i miss,0.134452948,1,0,0,
193,not sure but it sound it because the quality is better than iphone if your pic are taken w a camera w better resolution than iphone,0.157227891,1,0,0,
194,thank you for the video i am doing a project on dropbox and this wa very helpful,0.018339002,-1,0,-1,
195,do not forget they are a racist company and sexist will not hire you if you would white or straight,0.375,1,1,1,
196,please me do not have any computer but i am used drobbox my phone android a 10,0.198894558,1,0,0,
197,hi laura how are you,0.097508503,-1,0,-1,
198,all that computer stuff is impossible to understand i despise this digital world,0.126011905,1,0,0,
199,it is cancer invasive in the extreme,0.097508503,-1,0,-1,
200,too much talking,0.201296296,1,1,1,
201,you are look so glad,0.110841837,1,0,0,
202,thank you,0.083333333,-1,0,-1,
203,you are welcome,0,-1,0,-1,
204,today is the first time i have ever heard of dropbox from an email i got i have no clue why they would send me this i am writing a book,0,-1,0,-1,
205,nice,0.05,-1,0,-1,
206,can anyone access your file how secure your information are in your drop box thanks,0.294444444,1,1,1,
207,it depends on how much you buy,0.145833333,1,0,0,
208,six figure mastermind it just the same a google drive right what is the storage capacity for dropbox,0.294444444,1,1,1,
209,dropbox allows access according to your privacy setting,0.077508503,-1,0,-1,
210,maybe i am too old but this f g dropbox is too complicated automatic synchro difficult to delete file pffff a nightmare,0.066982143,-1,0,-1,
211,great,0.102328644,1,0,0,
212,thanks for tuning in hit me up with a subscribe,0.069904401,-1,0,-1,
213,thank you mam,-0.107218254,-1,0,-1,
214,you bet,0.075990646,-1,0,-1,
215,i am cautious about using this dropbox thing because i allowed onedrive without realizing it actually took my file off my desktop document and photo file off my computer to store on the cloud getting all 3 5 gig of file back on my computer is a terribly long and laborious process which doe not put them back according to their original organization but in a downloaded zip file doe dropbox take my file or simply copy them doe anyone know for sure if you can only guess do not comment please,0.061470899,-1,0,-1,
216,why can not i uninstall this horrific app from my window 10 computer,-0.028385417,-1,0,-1,
217,nice,0.205555556,1,1,1,
218,i do not know what you mean by the dropbox icon at the top of your screen there is no dropbox item at the top of my screen,0.001767677,-1,0,-1,
219,that icon appears for mac user u must be working on a window system check your desktop or start menu,-0.002539683,-1,0,-1,
220,how do i get the file off drop box to my external drive,0.21452381,1,1,1,
221,the rule are too chaotic and fussy,0.03,-1,0,-1,
222,stop using drop box their racist hiring manager at dropbox admits she dislike white people and make employment decision based on race,0.15281746,1,0,0,
223,can you share video with dropbox on a social medium page,-0.098594577,-1,0,-1,
224,great,-0.05952381,-1,0,-1,
225,nice tu,0.028968254,-1,0,-1,
226,great video very well done all would have gone perfectly if i remembered to go and verify my email a wa explained i tried to get in before doing that and it did not work thank you,0.281944444,1,1,1,
227,great thank you for the head up,-0.009672619,-1,0,-1,
228,how can you get rid of this rubbish i can not unsubscribe,0.132718254,1,0,0,
229,please be careful with this app it can delete all your data if you want to uninstall it please do not even download this,0.185119048,1,0,0,
230,i think dropbox is kinda copying roblox is captcha,0.205714286,1,1,1,
231,i have a shared folder with a group of 5 recipient i add photo to this folder periodically do the people in the shared group get any type of notification that i would added file,-0.006202381,-1,0,-1,
232,a great tutorial nice clear vocal not too fast no ott editing and annoying background music just make life so much easier well done thanks,0.247428571,1,1,1,
233,i had the free account for about 10 yr now of course not much storage,0.096388889,-1,0,-1,
234,i am extremely attracted to this voice,0.409375,1,1,1,
235,what if i want to save a file only on the server and not on the pc am i obliged to save the file on the cloud and also locally and if i delete it locally it deletes also from the server,0.145,1,0,0,
236,thank you i like your voice it helped me to follow,-0.082202381,-1,0,-1,
237,how dare you she sound like greta,-0.019444444,-1,0,-1,
238,dropbox ha been obsolete since the day it wa created it literally doe the same thing a email except it is horribly unreliable and you constantly have to babysit it to make sure file are actually uploaded it is crap how something like this ever gained traction i will never know,-0.330729167,-1,0,-1,
239,probably because you are entirely wrong email attachment are limited to 5mbs attachment size you can not store large file on your email nor can your sync or change file to the cloud that is not the same a email in the slightest sound like you had a bad experience with the application you should give it a try again nothing you have mentioned ha matched my experience with dropbox at all,-0.170238095,-1,0,-1,
240,um what,0.028095238,-1,0,-1,
241,thanks this really helped me i knew nothing about dropbox,0.039083333,-1,0,-1,
242,getting started tara,0.166180556,1,0,0,
243,easy and amazing tutorial,0.123611111,1,0,0,
244,coming soon in the near future why you should not unsubscribe to u video absolutely no solid reason cause of these video that are being uploaded,0.245,1,1,1,
245,tomoxeha amiconort lol there wa a time when there were good video on this channel came through fb year ago lol,-0.074666667,-1,0,-1,
246,shame on you who first decidef to subscribe,0.180069444,1,0,0,
247,how to moneytize this channel to the max,-0.186666667,-1,0,-1,
248,monetization maybe hard for many channel though this channel should get it,0.155555556,1,0,0,
249,next video how to subscribe to a useful video channel,0.2,1,0,0,
250,what is next how to instal window 95,0.025,-1,0,-1,
251,next video how to download game in the ps3,0.225,1,1,1,
252,thanks for this video if the year wa 2007,0.089583333,-1,0,-1,
253,not all people may know everything these video are very useful thanks,-0.033333333,-1,0,-1,
254,next video suggestion how to unsub from tech insider,0.121875,1,0,0,
255,how to unsub oh wait,0.522916667,1,1,1,
256,i wa about to commit suicide coz i donno how to use dropbox,0.25,1,1,1,
257,same,0.208333333,1,1,1,
258,pls tech insider pls show me how to drink water pls pls,0.291666667,1,1,1,
259,,0.159375,1,0,0,
260,no body had me scrolling like this,0.089583333,-1,0,-1,
261,next video how to breathe,0.233333333,1,1,1,
262,dante,0.333333333,1,1,1,
263,covid 19 patient i will take your entire stock,0.06875,-1,0,-1,
264,thx,0.06875,-1,0,-1,
265,here is a new and improved dropbox tutorial,0.06875,-1,0,-1,
266,i friggin hate this program the most un user friendly program lve ever encountered but this is how people send me file so l need a tutorial that say step 1 step 2 step 3 for each function can not figure out how to save the file to my phone so l can access them with video program,0.253888889,1,1,1,
267,we come to youtube to find out how to do thing what if you are older but still working and this young guy j speaking like a train doe instruction with a distant tiny lettered screen rubbish,0.2875,1,1,1,
268,i have a much newer version of this video do not know why youtube still show this old one,0.2,1,0,0,
269,awesome,0.2,1,0,0,
270,awesome,0.027752332,-1,0,-1,
271,can you do all this on your firestick etc,0.156191185,1,0,0,
272,thank you for a great video and for helping me get started with dropbox so easily brilliant 109 min video,0.220303997,1,1,1,
273,good info but i need it for my phone off phone on dropbox could not figure it out will go to your new tutorial it is me not you lol,0.216306878,1,1,1,
274,so helpful thank you,0.171608466,1,0,0,
275,i need help with a certain problem,0.222151876,1,1,1,
276,thanks,0.163007937,1,0,0,
277,he is talking too fast not very helpful at all,0.545203373,1,1,1,
278,thank you for this detailed video it wa very helpful and informative,0.0800864,-1,0,-1,
279,very helpful thank you,0.05173624,-1,0,-1,
280,thank you,0.396860119,1,1,1,
281,terimakasih tutorial for beginner sangat bermanfaat,0.389336821,1,1,1,
282,i like thank you,0.185449735,1,0,0,
283,my dropbox folder on my pc is getting very large if i move it to an external drive will it still operate correctly,0.150681217,1,0,0,
284,awesome tutorial you need to teach all the other youtubers how to make tutorial,0.092718254,-1,0,-1,
285,for beginner you are horrible you go too fast,0.315646259,1,1,1,
286,whoa slow down it is for beginner remember curser going at a rate of knot,0.241840278,1,1,1,
287,this vid is too advanced for me a beginner you talk too fast the stuff is too small to read and you jump around too much it is too complicated i am a beginner,0.063218666,-1,0,-1,
288,i am afraid the print is too small to be user friendly sorry,0.555238095,1,1,1,
289,i appreciate that you are doing this never really learned the computer stuff but i am a dis abled warrior having had a massive stroke and being a cancer survivor i am wanting to start a youtube channel but not sure how to do this but this is a starting point,0.147123016,1,0,0,
290,thanks for the tutorial,0.070329861,-1,0,-1,
291,too fast doe not do me any good,0.230515873,1,1,1,
292,your video wa most helpful thanks,0.111011905,1,0,0,
293,please be careful with this app it can delete all your data if you want to uninstall it please do not even download this,0.242662037,1,1,1,
294,good video,0.173129252,1,0,0,
295,i just bought a new pc amp in the bundled software it come with 25gb of cloud storage using dropbox it seems pretty straight forward but i thought i would watch a video in case i wa missing something thanks,0.132946429,1,0,0,
296,too crazy hard for me so many version on one desktop they all do not do the same thing i am trying to add one folder to another but have no option to do so,0.068452381,-1,0,-1,
297,thank you so much info are discussed concisely,0.116693723,1,0,0,
298,is it safe to store confidential info doc in dropbox,0.126444444,1,0,0,
299,how do you or can you print directly from dropbox or just read it,0.124007937,1,0,0,
300,hey dropbox include middle age white male in your new youtube advert if you want u to buy your product,0.13478355,1,0,0,
