,sequence,labels,scores,classified,Components List,label confidence score
10,4m view but yet you fail to mention the ultra doe not have edge to edge display what a step backwards who care about a 49mm screen if the display is only 47mm with an unusable black bezel around the display how irresponsible of apple to fail to mention this going right back they are not getting my dollar800 to downgrade,"['Design Specifications', 'Software', 'Advertising']","[0.415571004152298, 0.29815956950187683, 0.2862693965435028]",Design Specifications,['display'],0.415571004152298
11,pro actually ha more of an elegant feel not a rugged feel okay perhaps not the pro display but everything else,"['Design Specifications', 'Software', 'Advertising']","[0.5134720802307129, 0.33304449915885925, 0.15348337590694427]",Design Specifications,['display'],0.5134720802307129
12,imagine solar panel under the display that would be a game changer,"['Design Specifications', 'Advertising', 'Software']","[0.49288666248321533, 0.2830270230770111, 0.22408632934093475]",Design Specifications,['display'],0.4928866624832153
13,did you have display on through your test,"['Design Specifications', 'Software', 'Advertising']","[0.34076717495918274, 0.3307737410068512, 0.3284590542316437]",Design Specifications,['display'],0.3407671749591827
14,actually iwatch ultra is a watch for people who want to display status on their wrist people who do those extreme type of sport are better off with a watch that is specifically made for their type of activity and that is what you gon na see in the end like 90percent of people who will wear this watch will propably use it to check their message,"['Design Specifications', 'Software', 'Advertising']","[0.601432204246521, 0.2121214121580124, 0.18644630908966064]",Design Specifications,['display'],0.601432204246521
15,i am just a regular user who need a resistant case to my job in an ambulance and like the design or the bigger display and more brightness from the ultra and i am not in your draw,"['Design Specifications', 'Software', 'Advertising']","[0.7877784967422485, 0.12837213277816772, 0.08384932577610016]",Design Specifications,['display'],0.7877784967422485
16,unske the dual frequency gps is super useful for me with photography and i will leave my phone at home when i go out it also ha very good triangulation with the mics so no wind noise come in i also can take this watch skiing and have a big enough display for my huge hand the night display help with night photography it is great for me to each their own,"['Design Specifications', 'Software', 'Advertising']","[0.6764242649078369, 0.18673324584960938, 0.13684247434139252]",Design Specifications,['display'],0.6764242649078369
17,impressive feature and beautiful display but miss the mark big clunky and mediocre battery life this ultramarathoner will stick with coros,"['Design Specifications', 'Advertising', 'Software']","[0.7537488341331482, 0.12839442491531372, 0.11785674095153809]",Design Specifications,"['display', 'battery']",0.7537488341331482
18,the best fitness tracker doe not even have a display all apple needed to do wa make the 8 slightly thicker for the battery charged 600 rather than 800 and called it a pro,"['Design Specifications', 'Advertising', 'Software']","[0.4372899532318115, 0.39821404218673706, 0.16449597477912903]",Design Specifications,"['display', 'battery']",0.4372899532318115
19,this watch ha an absolutely enormous pull for me a an astronomer it ha a red filter for the display which is absolutely crucial for astronomy to protect night vision my current apple watch if i accidentally tilt my wrist kill my night vision however the biggest reason is the waypoint marker often u astronomer need to travel far and to remote location to find darker sky my closest dark sky area is beautiful but ha absolutely zero signal of any degree and can be pretty easy to get lost something like the waypoint marker if accurate and reliable would massively increase my confidence and enjoyment traveling to remote site and further my enjoyment of astronomy,"['Design Specifications', 'Advertising', 'Software']","[0.8067905902862549, 0.10470310598611832, 0.08850622922182083]",Design Specifications,"['display', 'display']",0.8067905902862549
20,is the display flippable so that the crown can be on the left for ppl who prefer to where the watch on right wrist,"['Design Specifications', 'Software', 'Advertising']","[0.5749289989471436, 0.3290274143218994, 0.09604360908269882]",Design Specifications,['display'],0.5749289989471436
21,marque if you are wearing your watch on the right arm please rotate the display in setting so the crown is easier to access,"['Design Specifications', 'Software', 'Advertising']","[0.4195164740085602, 0.3690394461154938, 0.21144409477710724]",Design Specifications,['display'],0.4195164740085602
22,what kind of car do you drive that ha that huge display,"['Design Specifications', 'Advertising', 'Software']","[0.5537082552909851, 0.3458528518676758, 0.1004389226436615]",Design Specifications,['display'],0.5537082552909851
23,speaking from an electrical engineering nerd perspective i just geek had to have it for the large display i am a big guy too so the large size will not bother me also being in my mid 40 is helping out my eyesight a well also big upgrade for me a i am still rocking a series 2 apple watch can not wait for my delivery,"['Design Specifications', 'Software', 'Advertising']","[0.6996915340423584, 0.19892056286334991, 0.10138789564371109]",Design Specifications,['display'],0.6996915340423584
24,2 full day with always on display on or off did not mention bro,"['Design Specifications', 'Software', 'Advertising']","[0.42735469341278076, 0.32272791862487793, 0.24991732835769653]",Design Specifications,['display'],0.4273546934127807
25,i ordered one instantly on day one after the conference i may not need all it sport feature but i surely do want bigger display longest batter life ever and the brightest screen for outdoor use,"['Design Specifications', 'Software', 'Advertising']","[0.5201451778411865, 0.2820615768432617, 0.19779330492019653]",Design Specifications,['display'],0.5201451778411865
26,please apple just give u a reflective transflective display quit trying to fight the sun with photon you are so close to practicality,"['Design Specifications', 'Advertising', 'Software']","[0.4099428653717041, 0.3050021827220917, 0.2850549519062042]",Design Specifications,['display'],0.4099428653717041
27,the reason i am considering buying one of these flat screen curved screen are the worst thing to happen to mobile electronics because screen protector are inefficient and sometimes un doable if a fingerprint sensor is in the display samsung had to know about this before they introduced this plague onto the market but for some reason every engineer threw logic out of the window because they look cool or something it is the main reason i switched ecosystem no stupid curved screen or in screen fingerprint sensor imagine my frustration when i buy a series 7 apple watch and find my actual worst nightmare a flimsy curved screen that scratch if you look at it too often,"['Design Specifications', 'Software', 'Advertising']","[0.5541045665740967, 0.2671050429344177, 0.17879042029380798]",Design Specifications,['display'],0.5541045665740967
28,if i am spending dollar800 on a smart watch it better have a battery way longer than 2 day i really hope hybrid screen with either e ink or layered segment display get some investment for this reason,"['Design Specifications', 'Advertising', 'Software']","[0.43009862303733826, 0.3773418664932251, 0.19255951046943665]",Design Specifications,"['display', 'battery']",0.4300986230373382
29,i hope they make an iphone ultra would love a flat display with a lip like that to make it rugged and not need an additional case,"['Design Specifications', 'Advertising', 'Software']","[0.3681304454803467, 0.33523693680763245, 0.2966325879096985]",Design Specifications,['display'],0.3681304454803467
30,something some folk miss is that larger display mean easier for people with poor vision to read larger control mean easier to manipulate so if you are a larger older person this watch is more appealing than if you are a smaller or younger person before you even get to the other feature add being clumsy on top of it and yeah the ruggedness is nice too,"['Design Specifications', 'Software', 'Advertising']","[0.5918219089508057, 0.23005567491054535, 0.1781224012374878]",Design Specifications,['display'],0.5918219089508057
31,i work outside with park and recreation a a groundskeeper and pre ordered this just for the ruggedness the flat display hopefully will keep dust and particle out of the bezel gap which is the main thing that drive me crazy about the regular apple watch a screen protector also never worked on the curved display a it would bubble up and peel after a couple of week i can not wait,"['Design Specifications', 'Advertising', 'Software']","[0.7555136680603027, 0.1341967135667801, 0.1102895438671112]",Design Specifications,['display'],0.7555136680603027
32,8 25 no i am not somebody who never owned a watch i just like the new form factor and especially the all flat display that is much better readable,"['Design Specifications', 'Advertising', 'Software']","[0.6447754502296448, 0.2526957094669342, 0.10252884775400162]",Design Specifications,['display'],0.6447754502296448
33,i do not need the ultra at all i have had the series 3 4 amp 6 all in stainless steel i am going to upgrade my series 6 to the ultra mainly because the series 8 is not much different to the 6 the cost difference is not a lot and i want a different design i will never use the diving hiking or mountain feature but doe that mean this watch is not for me i do not like how sometimes apple seems to suggest just because you will not use the feature the watch wa designed for that you should just get the se i want a bigger brighter screen i want a better battery same thing with the macbooks i am not a pro at all in any sense but i still prefer the macbook pro over the air and i usually want the 16inch pro just for the display quality and battery size my point is i always feel like i should not be buying these product or feel guilty for buying them just because they are not designed for my life case great video a always,"['Design Specifications', 'Software', 'Advertising']","[0.4661654829978943, 0.2788921594619751, 0.2549424171447754]",Design Specifications,"['display', 'battery']",0.4661654829978943
34,it is titanium ha a sapphire crystal display and an extra programmable button enough get on my wrist,"['Design Specifications', 'Software', 'Advertising']","[0.9134621620178223, 0.06526029855012894, 0.02127760276198387]",Design Specifications,['display'],0.9134621620178224
35,maybe in future they will make a ultra iphone mkbhd it sound like that phone will be harder to brake i wish they make iphone ultra one some day and that can go 100 meter deep sapphire display it will be cool,"['Design Specifications', 'Software', 'Advertising']","[0.37264811992645264, 0.36201998591423035, 0.2653319239616394]",Design Specifications,['display'],0.3726481199264526
36,i have a letsfit iw2 smartwatch it cost me 40 freedom unit shipped to my door doe everything a basic smartwatch need to do along with some custom display an app for android that work well the company is based out of fla i have had people who do not know ask if it is an apple watch and best of all the dang thing last nearly 10 day on a charge apple want 800 freedom unit for their watch and for what i need in a watch hell no,"['Design Specifications', 'Software', 'Advertising']","[0.43039214611053467, 0.30634066462516785, 0.26326724886894226]",Design Specifications,['display'],0.4303921461105346
37,get a garmin watch it gps is awsome it is way way better than apple at golf with not a nice a display,"['Design Specifications', 'Software', 'Advertising']","[0.5995095372200012, 0.2027936726808548, 0.19769679009914398]",Design Specifications,['display'],0.5995095372200012
38,i personally wish the regular watch did not have a curved display,"['Design Specifications', 'Advertising', 'Software']","[0.5791723132133484, 0.2422768622636795, 0.17855076491832733]",Design Specifications,['display'],0.5791723132133484
39,that is the same spot i am in i have a 4 which is still kicking but i would love an always on display,"['Design Specifications', 'Advertising', 'Software']","[0.40464216470718384, 0.3026863634586334, 0.29267141222953796]",Design Specifications,['display'],0.4046421647071838
40,and they last for week longer than apple is watch ultra even in the ultra is 60 hour battery saving mode apple writes in the fine print of the product page that it turn off the heart rate and gps sensor just to make it last that long garmin ha both heart rate and gps going for at least 96 hour and multiple day longer if gps is turned off apple would have to change the display technology completely to be able to get it to last longer than 60 hour,"['Design Specifications', 'Software', 'Advertising']","[0.34679466485977173, 0.3323144018650055, 0.3208909034729004]",Design Specifications,"['display', 'battery']",0.3467946648597717
41,wonder how battery life and display match between samsung watch 5 pro and apple watch 8 ultra naming scheme go burrr,"['Design Specifications', 'Software', 'Advertising']","[0.45745590329170227, 0.40342333912849426, 0.13912080228328705]",Design Specifications,"['display', 'battery']",0.4574559032917022
42,funny how smartwatch battery is so important but no one talk about the amazfit smsrtwatches charged my gts 3 friday with always on display and notification on today is wednesday and i am still at 47percent,"['Design Specifications', 'Software', 'Advertising']","[0.47394266724586487, 0.38069263100624084, 0.1453647017478943]",Design Specifications,"['display', 'battery']",0.4739426672458648
43,2 day and night with always on display or without,"['Design Specifications', 'Software', 'Advertising']","[0.35822007060050964, 0.3209194839000702, 0.3208604156970978]",Design Specifications,['display'],0.3582200706005096
44,apple can make regular apple watch with bigger battery and flat display but they will not because all they want is your hard earned money,"['Design Specifications', 'Advertising', 'Software']","[0.4650421440601349, 0.33956992626190186, 0.19538792967796326]",Design Specifications,"['display', 'battery']",0.4650421440601349
45,this is way smaller and cheaper than my garmin watch i love the way it look and although my garmin epix 2 with oled display can last a full week even with heavy use i really like the look of this watch and the fact that it will complement the rest of the apple ecosystem,"['Design Specifications', 'Software', 'Advertising']","[0.4067888855934143, 0.3155267536640167, 0.27768439054489136]",Design Specifications,['display'],0.4067888855934143
46,i prefer the ultra naming scheme pro professional you do not need to be a professional to use the added feature of the airpods pro or the iphone pro whereas the pro xdr display and pro mac option are built for professional use i think apple should migrate consumer level high end product line to the ultra moniker ultra sound premium and will draw enthusiast without muddying the definition of the word pro,"['Design Specifications', 'Software', 'Advertising']","[0.36608758568763733, 0.34289175271987915, 0.2910206615924835]",Design Specifications,['display'],0.3660875856876373
47,ugly watch i prefer a basic casio digital watch it ha an always on display and a 10 year battery even ha a backlight and best of all it tell the time whenever without pressing button,"['Design Specifications', 'Software', 'Advertising']","[0.4244823455810547, 0.35710784792900085, 0.21840982139110565]",Design Specifications,"['display', 'battery']",0.4244823455810547
48,smartwatches sadly still have some degree of compromise you can actually buy a smartwatch with a replaceable cell battery that last for an entire year but the catch is that the watch is a hybrid smartwatch and hybrid smartwatches prioritise being a watch over being a smart device ironically the first ever smartphone that paired to a phone wa actually a hybrid smartwatch the sony ericsson mbw 100 this watch wa a mechanical watch with an led display at the bottom for notification and music and had playback control on the side and incredibly there are still watch that follow similar principle the most modern one i have seen use e ink display a the watch face with hand that will move out of the way whenever you get a notification or navigate through certain menu and setting one of the popular example of a watch with this setup being fossil is hybrid hr watch these however do not have replaceable battery but do have rechargeable battery that only need recharging once every 2 week but another type is a hybrid watch that ha no display at all and will instead point to a number on the dial that you can assign to notification relating to an app or a contact personally i have not had a good experience with fossil is version of these watch on android i had syncing issue and on io it would only accept notification from apps that fossil had personally whitelisted no idea why especially since their hybrid hr watch support all apps but that is how it is but there are other company that make these including none other than armani these watch look like normal watch and do not use much power which is how they are able to keep going for an entire year or more but yeah i have not seen a single hybrid that support third party application and sadly they are rather underrated a watch sure they are more minimalist when it get to functionality but they do have a kind of secret agent spy watch kind of quality to them that i think make them stand out,"['Design Specifications', 'Software', 'Advertising']","[0.5104392766952515, 0.3792259395122528, 0.11033470928668976]",Design Specifications,"['display', 'battery']",0.5104392766952515
49,i know they are not in the same market bracket but a a long time amazfit user it make me chuckle when people are shocked they get more than a day out of their watch i still have basically all feature 98percent of anyone buying this will ever use but charging more than once a week is not a thing even with always on display active i can not fathom why people accept le than a day battery on stuff,"['Design Specifications', 'Advertising', 'Software']","[0.6050860285758972, 0.2035682499408722, 0.1913457214832306]",Design Specifications,"['display', 'battery']",0.6050860285758972
50,galaxy watch 4 baby i do construction and it is amazing i get 2 day on it always on display google ect 800bucks is way too much,"['Design Specifications', 'Advertising', 'Software']","[0.44496285915374756, 0.34153929352760315, 0.21349787712097168]",Design Specifications,['display'],0.4449628591537475
51,what if someone who isnt a avid hiker or anything like that want this watch just cause it a bigger display and battery life i have a bigger wrist so the ultra would look normal on me,"['Design Specifications', 'Advertising', 'Software']","[0.4883062243461609, 0.27526795864105225, 0.23642580211162567]",Design Specifications,"['display', 'battery']",0.4883062243461609
52,to me this doe not get me there i bought an garmin epix 2 this year which is a fenix with that nice oled screen instead of that bland battery saving display that sacrifice some battery but still i get 14 day on that thing with at least an hour of activity every day and with display always on i still get a week sure this doe not have the superb smartwatch feature that apple watch have but the garmin watch are league ahead in activity feature seems to me that if you are into the hole ultra aspect big hike long run and diving the garmin feature set should be so much more appealing especially combined with the battery would love to here a counter point to this,"['Design Specifications', 'Software', 'Advertising']","[0.42450112104415894, 0.3180038630962372, 0.2574949860572815]",Design Specifications,"['display', 'battery']",0.4245011210441589
53,the apple watch ultra is essentially killing the very high end gadget the same way that the pro display xdr did,"['Design Specifications', 'Software', 'Advertising']","[0.5730494856834412, 0.23153801262378693, 0.1954125612974167]",Design Specifications,['display'],0.5730494856834412
54,can you try golf apps i am curious a to the display offering with the ultra watch and determine if it worth getting over a garmin watch,"['Design Specifications', 'Advertising', 'Software']","[0.3596486449241638, 0.33532580733299255, 0.305025577545166]",Design Specifications,['display'],0.3596486449241638
55,always on display is not a feature for a niche audience on a watch a much a i like apple is implementation of the display that turn on only when you flick your wrist it is not a nice way to check time at a glance once you start having it there is no going back to the old technology it is also much nicer when you are talking to someone to be able to glance in a discreet way without making it look like you are bored or in a hurry to stop the conversation,"['Design Specifications', 'Software', 'Advertising']","[0.6882233619689941, 0.18071618676185608, 0.13106049597263336]",Design Specifications,['display'],0.6882233619689941
56,is not the surrounding bezel huge in display coverage it like series 7 going back to series5 and 2years down the time we have slightly larger display in the same form factor how doe california apple watch face look on ultra,"['Design Specifications', 'Software', 'Advertising']","[0.5321987867355347, 0.3351690471172333, 0.13263222575187683]",Design Specifications,['display'],0.5321987867355347
57,take away all the gimmick that your normal average person doe not do consistently like diving and hiking just add in the big battery and better display but lower the price and this would be worth it other than that it is really overpriced like many of apple product usually are,"['Design Specifications', 'Advertising', 'Software']","[0.4292392432689667, 0.35076838731765747, 0.21999238431453705]",Design Specifications,"['display', 'battery']",0.4292392432689667
58,i switched to a garmin fenix series because i got tired of charging the apple watch every night the day when you forget to charge or do not have access to a charger mean you have a one day watch the fenix ha a 3 week battery with basic function but the screen display is not a nice maybe this watch would be nice if it had a lower battery mode to stretch it out to a week or so,"['Design Specifications', 'Software', 'Advertising']","[0.3585580587387085, 0.3503614068031311, 0.291080504655838]",Design Specifications,"['display', 'battery']",0.3585580587387085
59,one niche segment that is likely bigger than any of the sport oriented one you and apple have mentioned is the large watch wearer there are million of people that simply found all other apple watch too small period nothing else this watch is for them next you have people like me the new styling is one of the strongest selling point flat display being key i could have done with 46mm but it is the style nonetheless and of course the obvious battery life watch ultra is going to sell like crazy if initial availability condition are any indicator,"['Design Specifications', 'Advertising', 'Software']","[0.41054707765579224, 0.3760785460472107, 0.21337437629699707]",Design Specifications,"['display', 'battery']",0.4105470776557922
60,good review i turned off the always on display on my series 7 and it usually get 48 hour of life if they made a smaller version of the ultra i would probably get it for now it is too big,"['Design Specifications', 'Software', 'Advertising']","[0.4175664186477661, 0.34037116169929504, 0.24206236004829407]",Design Specifications,['display'],0.4175664186477661
61,i have got a dive computer rrp gbp700 it is a huge display but i only use it when i am diving this watch might be interesting to use for recreational diving i am not switching a my computer is synced with my air integrated system and i got my computer for half that price,"['Design Specifications', 'Software', 'Advertising']","[0.6440478563308716, 0.21756500005722046, 0.13838711380958557]",Design Specifications,['display'],0.6440478563308716
62,this is not a watch for professional athlete this is more like for people who want a stronger watch for weekd hiking or for occasional shorter running and they like the apple watch i think it would be really good for diver but other sport im not sure cycling nope it is not possible to connect any plugins rear radar watt meter or display ultra runner trail runner how they say nope if someone is running longer than according to apple 17 hour he will be out of battery thru hiker i do not think so 300 500mah of battery you need every evening if you are out in mountain for 1 2 week you do not want to spare energy on watch or take second power bank just for watch i wished that aw ultra will be suitable for athlete and put a proper battery and connectivity in to it but no maybe 2 or 3 gen will be better make it 30 hour on battery with gps add connectivity and i will pay anything,"['Design Specifications', 'Software', 'Advertising']","[0.49940207600593567, 0.2581467032432556, 0.2424512356519699]",Design Specifications,"['display', 'battery']",0.4994020760059356
63,keaton anderson there are mechanical watch that run for year on end there are also sport watch with display that run for month and there are sport smartwatches like the garmin epix 2 that have week of battery life whilst also having vastly more feature than the ultra and p it doe not look like a brick apple is not there yet especially for actual sport us,"['Design Specifications', 'Software', 'Advertising']","[0.5164911150932312, 0.28329116106033325, 0.20021770894527435]",Design Specifications,"['display', 'battery']",0.5164911150932312
64,got the series 8 45mm today i can not seem to find my step to display on watch face,"['Design Specifications', 'Software', 'Advertising']","[0.6869534254074097, 0.1869376003742218, 0.12610897421836853]",Design Specifications,['display'],0.6869534254074097
65,it would be cool to have under the display solar panel for charging,"['Design Specifications', 'Software', 'Advertising']","[0.44677281379699707, 0.29697516560554504, 0.2562520503997803]",Design Specifications,['display'],0.446772813796997
66,since your bmi will not change throughout the day why would you need a sensor on your watch having smart connector would allow medical device inventor create specialized band which leverage the display and connectivity,"['Design Specifications', 'Software', 'Advertising']","[0.6396347880363464, 0.21736569702625275, 0.1429995596408844]",Design Specifications,['display'],0.6396347880363464
67,which apple watch wa used for the display,"['Design Specifications', 'Advertising', 'Software']","[0.6393907070159912, 0.2024831473827362, 0.15812620520591736]",Design Specifications,['display'],0.6393907070159912
68,how to keep the display always on in apple watch,"['Design Specifications', 'Software', 'Advertising']","[0.44048136472702026, 0.37289053201675415, 0.1866280436515808]",Design Specifications,['display'],0.4404813647270202
69,i wa in the apple store today and the watch can not be setup without an iphone which mean the apple watch is distinctly an iphone peripheral which i think is a bad design choice especially for modern time when an tablet device can do everything a phone can an more for instance i can call people using facebook messenger which begs serious question of using a mobile phone service provider but that is another topic consider that the ipod mini ha a display and a designer made an app and case that allowed it to be used a a stand alone watch many should feel uneasy having to own an iphone to use the watch most smart watch distinctly can independently be used a a watch and computing device you can download apps onto and then also take advantage of the feature that allow it to be used a a smart phone peripheral,"['Design Specifications', 'Software', 'Advertising']","[0.43916043639183044, 0.3949044942855835, 0.16593503952026367]",Design Specifications,['display'],0.4391604363918304
70,doe apple watch ha always on display feature,"['Design Specifications', 'Advertising', 'Software']","[0.5007308721542358, 0.33192405104637146, 0.1673451066017151]",Design Specifications,['display'],0.5007308721542358
71,i wish i had seen this much earlyer it took me 10 month to self decide if i want to get one or not and i did get one 2 week ago series 7 aluminiu green to match the green theme i went for airpods max green iphone 13 pro max alpine green and soon imac 2021 by start of year in 2023 or maybe december 2 year ago i owned iphone se2 and i wish i had the watch then the ability to unlock that annoying touch id wa a nightmare with face id i never had issue but damn for touch id in outdoors sucked i do think i will not enable the feature to unlock my watch iphone or imac with watch mainly for security reason aswell with applepay pretty much anyone can use those aslong a you have the watch on your hand and i sure do not trust ppl with my device acessability for it is awesome i must say for yt and it run smothly with synergy on iphone the display is watchable considering it 45mm size bright and loud aswell i still do not get workout and calorie but oh well i guess i need time to learn those thing you never get teached but self learn sometimes it reach double sometimes 5 to 6 time the goal and yet im not seeing a difference even though my diet is the same it just show me how active i am i guess one benefit of it is heath it show alot of data regarding it although i never enabled my acct on it it good to have in case i decide to i guess seeing weather data on it is great aswell shortly for me it ha 3 benefit synergy with iphone seeing data i need to check daily in no time spend to grab my iphone and tap to see and health info,"['Design Specifications', 'Software', 'Advertising']","[0.39015287160873413, 0.38387733697891235, 0.2259698063135147]",Design Specifications,['display'],0.3901528716087341
72,45mm 1 9 display,"['Design Specifications', 'Advertising', 'Software']","[0.8354350924491882, 0.09466511756181717, 0.06989983469247818]",Design Specifications,"['display', 'display']",0.8354350924491882
73,just try haylou rs4 plus cuz the wath ha a 60hz display,"['Design Specifications', 'Software', 'Advertising']","[0.5495660305023193, 0.25706788897514343, 0.19336605072021484]",Design Specifications,['display'],0.5495660305023193
74,the 8 series is my first apple smartwatch and it sure is something to like the health stats the quality of the display microphone and ease of use and integration with the apple ecosystem probably have no competition at the moment,"['Design Specifications', 'Advertising', 'Software']","[0.4658208191394806, 0.30415189266204834, 0.23002730309963226]",Design Specifications,"['display', 'microphone']",0.4658208191394806
75,craig is tech talk no problem and thank you for the time and response apple should have more band option but those apple branded dress brand will probably cost a fortune just look at the basic band the are charging 100 usd for i could only imagine a titanium or stainless steel band cost thank goodness for the like of third party company assisting u normal people with lower price maker like spigen rhino shield caduabe and others are really nice a well i hope next year they make make all the series 9 with a flat display like in the render and maybe a 46mm ultra for people with smaller wrist and more color option,"['Design Specifications', 'Software', 'Advertising']","[0.39025893807411194, 0.36863774061203003, 0.2411033660173416]",Design Specifications,['display'],0.3902589380741119
76,just got a se over series 8 a i could not really find any real difference between the two i do not need to receive any haptic feedback regarding ovulation nor do i need that immediate access to ecg with that aside being a technophile i could not justify the cost difference between a couple of minor ip cert and a always on display decided to save the money on this choice hmms this weird for me a i always find reason to go with more premium edition of a product simply because i like more feature regardless just not this time edit please help convince me to return the se for a series 8 d,"['Design Specifications', 'Advertising', 'Software']","[0.403438538312912, 0.32156693935394287, 0.27499452233314514]",Design Specifications,['display'],0.403438538312912
77,i would say the 7 if you find a price you like the larger always on display is a big one the additional space and keyboard is nice,"['Design Specifications', 'Advertising', 'Software']","[0.42462271451950073, 0.35057833790779114, 0.22479893267154694]",Design Specifications,['display'],0.4246227145195007
78,i am really thinking of it i have a 38mm aw 3 now and it is kinda slow and i could enjoy it a lot more with a larger display i am getting big into walking now and kinda hope to run again knee pain permitting a i am getting older the ekg would kinda be nice i would love the ultra display intensity but can not justify dollar800 for a watch owch,"['Design Specifications', 'Advertising', 'Software']","[0.3995237648487091, 0.3369114398956299, 0.263564795255661]",Design Specifications,['display'],0.3995237648487091
79,i settled for an 8 because of the ultras price even though i liked the look of it and hesitantly returned the 8 for an ultra 6 day later and couldnt be happier id pay more for it the display is night and day better snd it the first watch imo that look designed for a man and doesnt need a cover,"['Design Specifications', 'Advertising', 'Software']","[0.4777336120605469, 0.2795161306858063, 0.24275025725364685]",Design Specifications,['display'],0.4777336120605469
80,suggest mentioning much brighter display and enhanced gps which can get you straight back to your hotel room in tokyo,"['Design Specifications', 'Advertising', 'Software']","[0.4416612684726715, 0.36661675572395325, 0.19172196090221405]",Design Specifications,['display'],0.4416612684726715
81,awesome review loving my ultra been going between the trail loop in black gray and the midnight ocean band my favorite part are the display battery life and design,"['Design Specifications', 'Advertising', 'Software']","[0.5334805846214294, 0.2719537913799286, 0.19456559419631958]",Design Specifications,"['display', 'battery']",0.5334805846214294
82,i got the series 8 for the always on display and the keyboard,"['Design Specifications', 'Software', 'Advertising']","[0.5362512469291687, 0.3366805911064148, 0.12706813216209412]",Design Specifications,['display'],0.5362512469291687
