,comment
29,tohuwabohu dislike
30,did you used to make motorcycle video
31,oh baby yes
32,please stop yelling we can hear you
33,great service and video thanks
34,why are all smart watch just glorified fitbits they all have like the same 11 feature and some let is you call and text that is it
35,i had a couple thing about the ultra that made me decide against buying it the biggest issue wa it is large to fit comfortably on my wrist and the watch can be a bit heavy the thing also wa the ultra wa hard to put under my long sleeve shirt i have smaller then normal hand and wrist for a man and the ultra wa just to large heavy and awkward for me being that i am retired and wanted an apple watch to monitor my heart and temperature reading i went to the series 8 41 mm i do not need cellular connection on the watch a i have my phone with me all the time i just could not justify spending another dollar120 00 a year added to my cellular plan and having a extra dollar100 00 for the watch the ultra is just not what i wanted and the se just wa not enough i also do not really have a use for the stainless model so i went with the aluminum the way to save money is also fish for the discount and by a short fishing trip over to the apple veteran and military website i found 10percent off on the site so that dollar400 00 watch wa dollar360 00 the ultra is just to much and the se not enough and the series 8 wa just right my pervious apple watch wa the original version that lasted until last month before the battery died so this wa a nice update
36,good presentation
37,my first apple watch is the series 8 i know it is not a lot of change but it is a perfect first watch for me it is my third day having it and i adore it sm already
38,reduce your coffee intake
39,im sold on the series 7 because it pretty cheap now and it basically the same a the s8
40,i might get the series 6
41,i wished the ultra got a faster chip s6 chip is starting to feel slow especially when using night sky which slightly lag at time
42,tyler cost
43,i am not a smart watch person just shopping for mom what throw me off is why they have been using the same chip for so long if the battery last le than a day
44,saying the most expensive apple watch at dollar800 is the best bang for your buck doe not make this guy look good tbh 6 40 thank you for admitting this wtf do you know what bang for your buck mean 99percent of people do not go scuba diving and do not need a diving computer lol how doe this model best bang for your buck wat
45,it would be interesting to see how the older apple watch with the apple s6 cpu perform wondering if apple intentionally slows them down to get customer to buy the new one with the rebranded cpu in them if they are all basically s6 cpu the old watch should be working perfectly fine very sus to rebrand the same chip to make it look like it is an upgrade
46,just a quick note every new apple watch ha bt 5 3 not only the ultra like you said
47,nice review i do disagree that the ultra is the best value ultra ha 2x battery 2x screen brightness 2x water resistance basically twice a good a the se in almost every way yet almost 3x the price plus there is definitely a market for people who would want the ultra but do not like the huge size if apple make the ultra in a smaller size and cheaper that would be a home run imo
48,price making doe not really follow a preliminary correlation with performance lol
49,dollar700 who wear watch to check the time just look at your iphone lol i rather get newest iphone
50,great video my friend just bought the 6 just because i felt i needed the ecg
51,i purchased the series 7 in stainless steel for dollar410 to upgrade from my aw se 1 which wa scratched up it is perfect for me a i do care about aesthetic a much a functionality i think it strike lovely balance between the two
52,i own an apple watch series 0 a watch that came out same year a iphone 6 or 7 plus imagine if apple turned of basic function and connection option for those phone that is what apple just did turned off basic function for my otherwise working and mint condition series 0 apple watch it is not supported in io 16 1 i got a new phone and after automatic installing io 16 1 1 basic function on old apple watch is no longer working basically everything that require connection to the phone is no longer working fitness sync notification weather complication and other complication etc basically everything that also us the watch app on phone so they more or le bricked my watch at the push of a button why it the first time i have seen an apple product become completely useless after 7 year and they choose to do it on a watch the watch wa working just fine before the update yes it did not have the new function but it wa just fine i called support and after a long chat they decided to compensate me with a link to recycle the watch so they brick my watch and sent me a link to recycle the watch after that they semt me a link to apple store watch page so i could buy a new one at full price what is going on here can apple just do that in my ear it sound crazy that they can just do that please help
53,if your aftermarket band damage the detent for the watch and wont come off apple will not work on your watch
54,thank you just bought a series 7 through your link
55,ive had my series 7 a while now a my first apple watch and i wear it everyday and sometimes i have it off and sometimes feel like i got a notification but i havent got the watch on me lol doe anyone else feel this
56,thanks for sharing you clarified many thing in a good way
57,well how do i get my mom to buy this
58,just praising the ultra and telling people to get the se if they do not want the ultra not much of a buyer guide
59,a richard millie watch cost over 1million dollar this is dollar800 i am going with apple
60,help i do not know which watch to get either the apple watch se or se generation 2
61,one interesting feature of an apple watch is that it tell the time
62,i wish all review were a helpful a this you made it easy for me to choose thank you and well done
63,i just purchased this for a decent price and it come with the cellular option which i will not use i am assuming the watch will operate the same right
64,u just promoted ultra here and spoke nothing about the other totally not compatible with the caption
65,keep it real bro the ultra is like wearing a t w steele watch on your hand shit look like you are wearing a wall clock on your wrist
66,dick tracy wud be proud
67,is this a tech channel or qvc
68,to be honest i just want a series 7 with the battery life of a ultra
69,i wanted the ultra because it would fit with my lifestyle but it is way to big for my tiny wrist
70,also the ultra is an amazing watch but you are right that big face is just too much but i do love the button and function of it
71,yes they have hnmm mmmm i kind of want the hermes watch for the box and re sale
72,dollar800 for a smartwatch do you think people sleep on money apple wa a one of first company to introduce a dollar1 000 smartphone now apple will be the first company to introduce dollar1 000 smartwatch
73,i really wish they would come up with a 43 46 mm option for the ultra i will probably end up buying the ultra regardless but there are a lot of athletic people out there that have small wrist and 49mm plus the additional thickness can look and feel quite daunting
74,sticky da plug there is a setting that allows you to switch the orientation while keeping it on the same wrist you can make it so that the crown face away from your hand
75,i love mine but it is a fact especially doing push ups the crown press my hand but if u raise it on the wrist a bit above the wrist bone it is actually no problem then
76,did you say ovulation tracking
77,the standard apple watch ha not had a good upgrade for a while now
78,why is the ultra 900dollar it is a ducking watch so dumb should not be more then 500
79,i just got the series 8 45mm for me and dad but still do not know how to use it yet lol
80,i find it funny that now that these watch were first announced to come out my series 4 wa updated and now it ping every so often when it is on the charger like it is disconnecting then connecting back anyone else experiencing this
81,thanks for the good advice about purchasing but why are you yelling
82,is the always on display really that useful or useless how often do you use it
83,dollar800 might a well get a phone
84,ugh i can not watch this guy anymore he is such an apple shill the se is the best watch bang for the buck genius but you got to sell that ultra do not you
85,great video buddy new subscriber
86,the ultra is indeed a better buy but only if it came in a smaller size even at 45mm i have the series 7 gps cellular 41mm and the crash detection is a big difference between the two along with the temperature sensor for those two reason alone i recently ordered the 8 gps cellular 41mm and will either sell or give away my 7 despite just having bought it in july and i wish they would free up on one or two of the herm s watch face
87,hello susana i would like to buy a series 7 gps cellular where are you from
88,dollar800 for a apple watch
89,id love the se it sound super useful and nothing too crazy i had a dream last night that i got one love being poor
90,i have the apple watch 3 definitely time for a upgrade so i am going for apple watch 8
91,i am still using the series 4 but that ultra doe look nice update got the ultra and it is pretty cool but the battery dy significan notly faster while using cellular
92,it last up to 3 day
93,what watch to get for first time apple watch buyer
94,i do not get it what is the surprising thing
95,thanks for helping with my decision i am going with the ultra
96,i just upgraded to an apple watch series 8 from my series 6 and i got ta say the battery life seems much better i wore it from 3am to 10pm and had 54percent charge remaining and that is not on battery saver mode
97,apple tell you the ultra is for exploring in the middle of nowhere how do you do that with 38 hour of battery at most my garmin give me over 12 day in normal mode to me it is absurd
98,apple say 100 mt water resistant i am a scuba diver and for my sport it 40 mt sorry it is either 100 mt or 40 mt
99,i upgraded from series 6 to se 2 and love it got the midnight black 44 mm got it for same spec a the 8 for lower price
100,that is a downgrade friend
101,wait for next year model the apple watch will have the same feature a the ultra but smaller and le expensive
102,max tech this is the first time i have buy a apple watch so i am getting an apple watch se2
103,did you make a mistake at 3 32 battery size of watch 8 45mm only 3 4 of watch 7 45mm
104,what about the series 6 if they all have the same chip what feature is the 6 missing
105,stefan w i wa looking to upgrade from an apple watch 4 so the 6 cellular for dollar240 on amazon renewed sound like a good deal to me
106,7 wa a minor upgrade to 6 8 an even minor to 7 same cpu since 6 not even shrinked to 5nm still 7nm so no better battery display a little bit smaller but who care will stick to my 6
107,i love to hate fanboy max
108,se 2 v series 7 at the same price series 7 probably cheaper mmmmh opinion
109,it gon na be my 1st smart watch tat i own but since i dun wan the aluminium model my next option is only stainless steel or ultra but the price difference is only about dollar100 so it totally not worth it to get the stainless steel when i can just get the ultra for like dollar100 more but one dilemma i have is it gon na be heavier more bulky and i like the series 8 design a little better coz im a pretty skinny guy
110,lol i have the same issue i prefer the 8 stainless steel but it is almost the same price a the ultra which ha twice a battery
111,the ultra cost 1000euros in europe battery last hardly a day that s insane shame on you tim cock
112,dollar800 lol
113,no thanks io and the apple watch will lock me down to apple forever
114,i need the series 8 from my series 6 i want the ultra at amp t is having a bogo buy a series 7 and get a se free
115,the new compass is a feature on the non cellular se
116,how is a se for kid because it doe not have always on display wa everyone kid when they bought the series 3
117,800 dollar heck no
118,i have series 4 and i ordered the apple watch ultra using some of credit card point and i ended paying dollar850 canadian dollar around dollar650 usd which i saved almost dollar400 cad tax included apple watch ultra price in canada dollar1099 and with tax the total you end up paying dollar1263 the bad thing it is going to be delivered in november
119,dan r i just made another a test for battery using the wayfinder face switching it to dark mode only and it lasted 3 day without the need to use low power mode
120,you get it yet
121,it bother me that everyone keep saying ip6x when it is actually called ipx6 it concern me even more so that apple f ed that up in their material they published about the watch they ought to know better and should have better more knowledgeable editor to catch thing like that
122,bro watch ultra is only for user who use it for mountaineering diving and other extreme sport even triathlon we can not just buy it if we have money
123,best year to buy apple watch series 7 haha
124,you just know next year apple will have a smaller version of the ultra
125,and color hopefully
126,i would not suggest woman in the u to use the temp sensor mainly because there could be issue with the over throwing of roe v wade
127,i am getting the 45mm series 8 with gps my first smart watch period
128,dude i do not believe i will buy a dollar800 watch whata f apple
129,no they did not make the choice difficult se and series 8 come with very little change do not need those two option replacing my series 7 nike watch wa discontinued ultra is a purchase worth considering
130,s7 s8 apple watch ultra
131,ultra too expensive and watch 8 too little battery life if watch 8 had 36 hr battery life with full use i could get that
132,i am upgrading from the series 3 to series 8 lmao
133,i want it but it too big pause
134,can you guy test the accuracy of the new improved gps in the iphone 14 pro it is supposed to have better gps i do not think any other reviewer is gon na test it at all looking forward to all your in depth video especially the 13 pro v 14 pro camera test
135,i am a teenager and my parent are planning to get me an apple watch for my birthday i have only had one watch before this and looking at the spec i think se is best for me thanks for the vid
136,will the series 8 have the keyboard a the series 7
137,best bang for the buck because of the battery life hahaha what a joker
138,i have bought apple watch s8 waiting for it consignment that is an upgrade for me because there are two new sensor on it in comparison of s5
139,apple watch 7 v se 2022
140,49 mm v panarai 49 mm
141,ummmhuuu ijusten
142,lol i don really think much people will buy the ultra it is so damm expensive and there are many competition out like especially garmin which the battery life are measured in month
143,getting a 700 dollar cellular for your son bruh
144,my only complaint about the ultra is they most likely did not shrink the 7nm node process from the s6 to at least 5nm i know we do not need more performance but greater efficiency can not be overstated in how much it is wanted and the value it would add could probably easily have hit 48 hour or probably more had they shrunk the size of the s8 and left processing performance the same
145,apple usually underestimate it watch battery life so hitting 48 doe not sound too difficult for it plus energy saving mode is still available
146,and it is ugly and bulky
147,se m1 macbook air amazing value device series 8 m2 macbook air fr who the hell is this for ultra m1 pro 14 macbook pro not cheap but a highly capable great value device
148,this is more of an ultra review and comparison
149,i have had the series 4 for a while it work fine and all but i decided to get the 8 because it is already 4 series old but now i am thinking i should have got the 7 i skipped on the new iphone this year because i have the 13 pro max and plan on getting next year iphone i am also upgrading to the airpods pro since i am still using the 1st gen airpods
150,6 series thank you
151,it is easy do not buy any apple watch
152,if apple would let u samsung user pair the watch i would get an ultra
153,that ultra is fucking awesome
154,i am shocked shocked that apple ha not sent you guy the new iphones
155,do not forget apple watch 6 the only difference between 6 and 7 is a tiny bit of screen size
156,what is better the series 7 or se 2 i am looking to buy my first apple watch for fitness the se lack some of the feature i want like ekg but then it ha the newer tech inside can anyone help do not think i can afford a series 8 even though that would be the best option for me
157,ted anteby you will not be using ecg daily and let god make you use ecg very le be healthy
158,anshul shrivastava honestly i think i might just get the series 8 at xmas time by then i should have enough saved up and it seems like the best option all round se just seems a little outdated still great for kid but le for people who want to use it for health and fitness i plan on using all those health feature regularly
159,what do you mean ecg only for a few day
160,that ecg will be just for few day and afterwards there will be no use of that so please go for value for money and make a sensible decision
161,ultra taking the piss well done apple
162,nice great info
163,18 hour the galaxy watch 5 get 50 why can not apple improve the battery life
164,already got the ultra look dope
165,people fascination with high end nice packaging just kill me
166,i will keep my series 4 for this year
167,ultra wayyyy to big for me give me a slap wrist band watch asap
168,been wanting my apple watch to be like the ultra for a while when it wa announced it wa like they read my mind since i go hiking a lot
169,what is precise device tracking is that like find my iphone i want to know cuz i am thinking about going for the new se
170,i wish they did two size with ultra 45mm is a big a i can go with my wrist size
171,is the series 8 able to detect fever if it ha a temperature sensor able to detect 1 degree change it should be able to detect when someone is running a fever it would be cool if you guy could test that
172,andreas elia i think it is assumed you will be able to determine you have a fever since that is detected by body temperature and it doe show you body temperature maybe they can not legally say it can specifically fever because that range varies from person to person or occasion after exercising v cold shower i imagine a feminazi on menopause will usually hit 3 digit and get close to melting the temp sensor anyway i decided again to not buy it it is the closest i ever got to owning an apple watch it certainly ha attractive feature but i can not justify dollar500 tax for a watch i do not really need
173,even if it doe detect fever with low power mode coming to series 4 and later with the new o update and the crash detection on the new iphones a well it doe make way more sense to buy a series 7
174,shadow 133 i agree but why did not apple talk about this they mostly talked about ovulation i tried to google it and did not found any mention of it some say it would be a feature for future version of the watch i find this weird
175,i imagine that is the main purpose of that feature
176,i finally upgraded my series 5 and got lucky with a series 7 for 220dollar picked up locally it wa also sealed so i have been using it for a couple day and the bigger screen 2 day of battery life have been amazing
177,any update
178,thanks for this video i wa about to buy the se 2 but decided to stretch a bit and go with the 7 like you recommended i feel good about it
179,i have had my series 3 since 2018
180,i would if apple would introduce a new colour to the base series 8 in the future
181,it is priced at dollar800 which make it a killer value lol the se here is the best watch this year
182,not a hard choice at all every apple watch i have had ha been stainless steel and titanium my only regret is i did not get the ceramic so when the ultra came out at dollar799 it wa a no brainer the most difficult thing is waiting until the 23rd
183,i am having a hard time waiting i search youtube everyday now ahahha
184,no one should be buying the 8 stainless worst buy you can do
185,since the series 8 is a marginal upgrade i bought the series 7 for dollar100 off on amazon in the beautiful blue color
186,same
187,why did apple only come out with that color i think that is going to be down fall
188,so the ultra ha overkill feature for extreme sport without the battery life to go along bummer it seems it is gon na end up being a super premium watch for people willing to pay twice the price for another day of battery
189,i noticed the nike branded watch did not get updated with that woman thing and the crash feature the hermes monster price apple watch did get updated for people that want to spend between dollar1 000 and almost dollar2 000 for an apple watch
190,woman thing sigh
191,the ultra apple watch is the first apple product i am interested in year the iphones with the wouldynamic island however did not hit the g spot
192,what if they called it gynamic island
193,ok then you will not like the google oasis
194,i have never had an apple watch so i just bought the series 8 i just think the ultra is too big
195,i really want to get the ultra i go on hike but have really small whist sadly
196,doe ultra come with gorilla arm so that it will fit my new wrist
197,all these tech boy are going to be sitting in their ac office flexing the ultra on their tiny wrist
198,the ultra should of had a minimum of 64gb storage minimum
199,thank you for watching and commenting message right away i have got something for you
200,that ruby red band how cool it would be if it wa that ultra orange
201,when you guy get the new iphones please compare the 14 pro and 14 pro max thermal and performance cause some leaked benchmark point to a 17percent faster cpu while other to a barley faster one could it just be the a15 in the normal 14 that get barley above last year s phone i really need to know if their is any difference between the pro and pro max other than the battery and display size before getting one thanks
202,thank you for watching and commenting message right away i have got something for you
203,do you think it is worth it to go from the series 5 to the 8
204,in that case i would either go with the ultra new design or wait one year the aw5 is still a good watch the design of the aw8 is quite dated and i would not be surprised if the non ultra apple watch will get a refined design similar to the ultra with next year is update
205,which watch ha the medication tracker
206,all
207,apple watch series 8 stainless steel cost 220dollar more than the series7 europe price which one to buy
208,thank you for watching and commenting message right away i have got something for you
209,thanks for the video i just canceled my apple watch series 8 order and purchased the apple watch ultra
210,thank you for watching and commenting message right away i have got something for you
211,6 20 why exactly are you personally excited for the siren that seems like an odd thing to say what use case excites you about this feature are you often in situation where your cry for help go unheard do you just enjoy loud sound please explain
212,i think y all should wait till the product is in hand so we can get quality video
213,series 8 should be 36hrs and 60hrs with low energy mode and ultra 60hrs and 120hrs with low energy mode otherwise they can not be compatible with huawei watch
214,thank you for watching and commenting message right away i have got something for you
215,have a series 4 and should have gotten a 7 waited on the 8 to see if space gray would return will probably get a 7 on sale if possible a for juuk band i have had one for over three year and have received many compliment on it definitely recommend
216,i have the series 4 and i can not decide on if i want to upgrade se is never an option for me it is either s8 or ultra and can not decide on either i am waiting to see review and more hand on to get a better idea on each my wrist is about 165mm
217,i got both to see which i liked more wanted a 41mm for jogging realistically ultra is so clunky and unnatural feeling on the wrist and doe not offer a much a all these youtube reviewer act like it doe it doe feel like a big unnecessary toy to a degree like who want to exercise with a giant as watch anyways def just a stunt watch with a poorly positioned action button too easy to bump or accidentally press
218,i would say get the 8 or the 7 since it is probably gon na get discounted quite a bit for black friday and christmas the only reason people are getting the ultra is just to flex which is pretty fucking stupid
219,my brother doe not have an apple watch which one should he get
220,corey i think so i had a s7 with a 12 pro max but honestly the se is a modern apple watch that will satisfy the need of most die hard apple fan and if he doe not like it he can always use it to trade up for a s7 s8
221,kevin campbell that would fit right at home with the 12 pro max he ha
222,se
223,ultra is the new biggie small
224,dan rustle i guess you do not know the reference notorious b i g the rapper the very overweight rapper wa also known a biggie small
225,what
226,do not you think they will make more use of the temp sensor in future io update
227,i am surprised it doe not tell you if you got the c19 with the oxygen plus the temp you know
228,go with the se unless you got deep pocket and absolutely need always on
229,wa talking about this somewhere else but i wonder will s8 is body temperature sensor alert you when you are getting sick
230,jinx20001 ah i see thanks for the clarification
231,in theory yes of course it will but by the time your watch tell you that you are sick you will already be aware of it since even 1 2 degree in body temperature change can mean you are sick and you likely already know about it you wouldnt want the watch to indicate you are getting sick early since your body temperature can fluctuate a small amount anyway it would take some proper voodoo magic to let you know you are going to get sick before you actually are so that isnt going to happen
232,my first apple watch will be this new se
233,just got it last week i think it is a worth buy for a first watch
234,me too
235,series 8 series 7 woman edition
236,doe cellular watch support 5g esim when phone is not around pls opine
237,in europe the decision is clear apple watch 7 the price of the 8 ha increased so much that is become deterrent
238,i just picked up a brand new series 7 and saved gbp100 over a new series 8 it suck that apple proclaimed not to have increased price when in reality the rest of the world paid dearly for the usa only price freeze
239,exactly what i did refurbished 7 for 339 wa all set to get the 8 but that price rise for zero useful new feature nope
240,hustle acc absolutely there is no need to get the 8 at all
241,is not the only new thing on the series 8 the temperature sensor and car crash detection that is it i would rather spend 100 150euros le for the series 7
242,the se is by far the best value and choice for someone is first watch
243,so i ended up with an ultra very happy i did the battery life is worth it alone
244,at least for me
245,celtics20 i am getting the se
246,i wa originally going to get the ultra but for my first watch i may get a 45 mm 7 or the se i always have my phone with me so i do not need a cellular watch
247,kenneth jenkins my friend got it it is so cool
248,watch ultra the app for diving need a subscription the standard free version is only for snorkeling
249,ultra is great if you live in an earthquake zone since ultra can emit 86 decimal in case you stuck in rubble after earthquake
250,edward x winstonit ha a range of 180 metre i am sure dog will able to pick up if not human 180 metre is significan not what do u think
251,there you go 86 decimal but how will you use them to affect your rescue
252,massive 36 hour battery life bruh
253,lol i thought the same i can go an entire week on my fitbit 24 7 body health sleep monitoring without turning off any feature
254,how big is ijustines wrist though maybe 140mm max
255,sheldoncooper0 ijustine had an acting career check on internet
256,full metal i am 6 3 and she wa only a bit shorter than me when i met her did not take note of her wrist size though she is not an actress athelete so i am not sure where her height listing online would come from probably not accurate
257,sheldoncooper0 did quick search online and say she is 5 3 tall
258,i have brought this up many time given that people have been using her short video a a reference point on deciding what is overlooked is that justine could have massive wrist above male average which could indicate that the watch is even larger than what people had in their mind
259,short version if you are not looking to get pregnant get a series 7 on clearance sale now before it is too late and you have to pay extra for series 8
260,do the cellular model use the same modem a the iphone 14 is i am curious when apple switch to their own modem design if battery life will increase
261,no apple watch until it transmits heart rate to garmin edge device
262,so everybody else is releasing hand on video for new iphone you guy just still uploading these click bait video great job guy
263,i am going with the ultra the 2000 nit turn the apple watch from a toyish looking device to what i always wanted from the apple watch that is why i do not use an apple watch since 5 year so that is a great update
264,what doe the screen brightness have to do with it looking toyish or not lol it will likely have an ambient light sensor which mean it will only reach 2000nits in the very brightest outdoor condition you do not want that thing blaring at 2000 nit very often not only will the pretty poor battery life be even poorer but the oled display will take a beating aswell brightness and oled is do not go well they degrade faster the brighter they go
265,so basically if you have a first gen se there is zero reason to upgrade to the se 2 in fact i would argue the build material are worse
266,juan tamad plastic underside
267,why are the build material worse
268,discounted s7 is the only correct answer
269,will the temp sensor work only for ovulation any chance to track other issue later that is my doubt to upgrade to s8 instead of s7 from my s3
270,my guess is that there will be other us for it in the future with software update regardless it will still track your temperature over night even if you are a male i imagine they will use the sensor in conjunction with other sensor such a giving you a better indication if you are getting sick my 2 cent is if you are planning on keeping the same watch for 5 year before upgrading then go with the 8 if you are someone who is going to upgrade in 2 3 year then get the 7
271,only apple know such a waste of a sensor if it is only for ovulation and sleep tracking though
272,i like the extra battery and brightness of ultra i like feel and look of stainless steel so confused
273,please get a samsung and be happy pathetic battery life is a no brainer
274,please keep in mind that the price in the eu will be more expensive this year then u counterpart
275,you can blame their constituent
276,doe series 7 hve u1 chip
277,informative video with great in depth coverage of all feature will help prospective customer make an informed decision
278,once i am finished paying off my apple watch 7 i will be upgrading to the ultra
279,stop do not make a mistake wait careful wrong god these title are so freaking annoying
280,many of u are comfortable with android phone to buy an iphone just to use an apple watch may not be practical i wish if apple allowed u to pair the apple watch with an ipad it would be the best of both world
281,thanks for your content
282,that ultra watch look so good
283,being a series 7 user i guess i will skip the series 8 tell me if i am wrong
284,not wrong at all the series 8 is a minimal upgrade could not even up the battery life from an abysmal 18 hour
285,agree
286,on top of that amp not only that
287,my s4 watch broke 2 year ago have not had a watch in a while may get the ultra
288,i have the s4 s6 and s7 s8 look like a minimal upgrade i would go for the ultra but since i am not an extreme sport athlete so probably will upgrade my air pod pro instead
289,what is the point of a cellular model if you have an iphone too guess i am kinda a noob here
290,scott murphy you would still have to pair it with an iphone just that you do not need to carry the iphone with you
291,brane uw so basically you can use it if it is not paired to your iphone
292,exactly i mean i do not use celluar model on first gen se since carry my phone a lot
293,you can go for a run without your phone and still be able to make a call for example
294,i went with the apple watch ultra mainly for the size i have a pretty large mechanical watch collection and since i started using the apple watch series 5 it is always felt small
295,chrisrules plenty of woman use the watch it really only matter if you have a small wrist not all woman are small ffs
296,this may sound a bit rude but the ultra is too big for woman and look more masculine
297,django groen one could say that about any smartwatch including apple compared to a traditional mechanical watch if look are a priority
298,i agree being unisex design the regular apple watch always seemed thin and small
299,django groen something being considered ugly and expensive are both depending on the person i do not think it is ugly or expensive i am not saying it is the best looking apple watch but it is not horrible
300,just buy last year apple watch series 7 skip the series 8
301,lt1 2 i did the same
302,that is what i did saved a nice dollar70
303,yea that is what i am gon na do
304,hi zero hour gang
305,i will be keeping my 7 and wait till they do something better a i do not need nor want the ultra
306,doe de apple watch ultra will be compatible with the magsafe duo charger
307,yes
308,i am glad i got the se 1 the se 2 doe not seem to be much faster and the back is plastic now which i am not a huge fan of i prefer the ceramic i would love a titanium apple watch but the ultra is a bit expensive and bulky for me
309,based i do not see it a a major downgrade it is just not for me and it doe come with a price reduction
310,the se 2 is like major downgrade from the se 1 the new apple line up is quite disappointed tbh same chip a the iphone 13 pro max on iphone 14 line up and se 2 with plastic back
311,i have the series 5 and i feel like the current se would be fine for me i do not use the always on display
312,i wonder if apple will skip the 9 next year and go straight to the 10 like the iphone together with watchos10 will we see a watch x
313,shangram mohammad good we need a new redesign i will stick with my series 3 til then
314,they skipped the 9 because of apple is 10 year anniversary which is what the iphone x wa all about something similar might happen with the 10 year anniversary of the apple watch my best guess would be a total redesign of the current apple watch series
315,you have hit the nail on the head too often reviewer are comparing the ultra to past smart watch where a it fitting a true watch or sport watch genus i ware a breitling and now just purchased the ultra it is lighter and no different in size so it is perfect i really do not get the size criticism
316,send it in we can color it any color u want with engraving
317,gor this for my birthday coming from a series 3 watch this is a huge step up
318,informative ad
319,the cost of the ultra in europe 983 55 dollar ridiculous
320,wooo where can i find this cute bonzai sakura in the background
321,each of these expensive device
322,dope editing
323,this video had me upgrade from the series 3 to the ultra i have been influenced
324,yeah the silver watch color stand out would buy it if it came out with a different watch case color like black
325,do you think apple ultra will come out with a different watch color case
326,if i have series 8 is it worth the change
327,you communicate really well thanks for the info i am waiting for my apple watch ultra to be delivered and you helped me learn the new feature
328,if they can add apple fitness video on the watch that would be well worth the difference in my opinion
329,everytime marque say but one demon soul ha been killed
330,yeah my cousin got in a paramotoring accident and he had this watch and the siren saved his life for people on the road to here he had crashed
331,doe it come in black batman
332,i will be honest i went with the ultra because i wanted a bigger watch that i did not have to charge every night other than that idk if i will ever use the other feature
333,14 04 if you are worried about your wrist size do not sweat it i have been self conscious about my wrist my entire life because they are pretty damn thin but the apple watch ultra really doe not look that big even on my wrist
334,i am bothered that you wear it on your right arm lol
335,i had 100percent on monday morning on thursday night i wa at 15percent
336,bruh the gbp600 accessory for your gbp800 phone
337,just bought this big as watch for no reason i love it btw it is huge and the battery is great you can definitely suffice with the series 8 for way le money but again i love it only thing i do not like is that the silver screen is very annoying i think the black would be a better option
338,i got a black case from amazon that look decent definitely would have preferred it came in black tho
339,it could not fit my small hand look too big even for you
340,in case you did not hear he doe ultimate frisbee
341,bruh the battery thing is just stupid my 100 dollar oppo watch free last a full 4 night till the 5th day with extensive training sleep monitoring etc so that is another apple style yesterday is tech at tomorrow is price
342,i love the design of this watch it look stylish and stunning
343,great review in describing the pro and con when it come to the extra feature the apple watch ultra provides well done
344,is it possible to select a sound for the alarm app or doe it only vibrate
345,i never owned an apple watch until i saw the ultra i wa waiting for something special to put on my wrist and i guess this is it i will be testing it soon on scafell pike mountain in england why is it so expensive in the uk it is gbp850 dollar1050
346,12 17 i will link the episode specifically below the like button so you can listen to it
347,bro i bought one and the back cracked about a month in unfortunately i did not get the apple care since i wa coming from a series 2 and that one look new sad
348,late to the party but i wa browsing watch today a after i did the update to 16 4 on my 14 pro max the watch gave up the ghost again get stuck in boot loop last august i had bb geek squad look at it they could not fix it sold me a refurb for dollar400 now 6 month later this one is not working gon na contact them for option but i have a hunch i know where it is heading i always get stainless case large screened watch because i have big wrist and they look more proportional plus i like the weight a series 8 in stainless 45mm is the same price a an ultra so i thought about it came to see your thought thanks for the video and honest review i think it is a no brainer that if they are both the same price to just get the ultra but i am still undecided do not use have the stuff my regular one do so it might be overkill but at the same price a a s8 45mm
