,Relevant Comments,Components List
35,i have been using a huawei watch gt2 for the last couple of year it doe not have all the function of android or apple but i get my notification and can answer or decline phonecalls and it also show the time but the battery life is just insane i get a full week with always on display last night when i came home around 5pm i had 13percent battery left i wa like eh i will charge it tomorrow night,"['display', 'battery']"
36,marque if you are wearing your watch on the right arm please rotate the display in setting so the crown is easier to access,['display']
37,what kind of car do you drive that ha that huge display,['display']
38,see viewer how apple fan boy aka digital slave justify that 800dollar when pixel 6a came with 60hz display this guy just criticize but now ip14 and again 800dollar iwatch these manipulator are the cancer of tech world,['display']
39,my apple watch series 3 just broke i bought the apple watch ultra do i scuba dive no do i do trialthalons no do i want a longer battery life bigger display and a cooler looking watch yes mine should arrive in two day excited,"['display', 'battery']"
40,speaking from an electrical engineering nerd perspective i just geek had to have it for the large display i am a big guy too so the large size will not bother me also being in my mid 40 is helping out my eyesight a well also big upgrade for me a i am still rocking a series 2 apple watch can not wait for my delivery,['display']
41,a someone who dive recreational it probably will not replace my dive computer yet i am excited to see the next generation on what it can possibly do though the current pro i see automatically log your dive if you do electronic dive log share your dive with everyone else perhaps give you more tangible feedback if you are ascending or descending too quickly like bigger vibration sometimes hearing the beep in the ocean is quite hard what i hope it can do in the future gps tracking of all of your dive buddy and group if they wear the ultra or some water proof airtag there were moment where i dove with only 1m of visibility so it can be hard to track anyone down there if they had a radar display or an arrow that point where your dive buddy is and how far that will be neat,['display']
42,2 full day with always on display on or off did not mention bro,['display']
43,1 on this i have had apple watch since the very first one and do not use any of the health or fitness feature at all so while i will happily take the extra battery life i do not really need it since i already finish the day with gt 50percent battery life however the ultra appeal to me because the display technically cover glass of my apple watch get so beat up and putting a screen protector on the curved glass look feel weird to me so i do not,"['display', 'battery']"
44,i tried the series 2 and series 5 both left me disappointed a fitness watch one of my complaint wa the button not enough button to be able to do thing during run and when sweat wa everywhere maybe 1 extra button plus the crown for scrolling will fix that the native exercise apps never impressed me and did not display the data i wanted or in the configuration i wanted i like the apple watch a a smart watch and fashion statement and always wanted it to work a both but now the ultra ha the sport capability and the look is not sleek and fashionable a the base model so it still doe not work for me i will keep my garmin i guess,['display']
45,my series 5 which i am replacing ha 88percent battery health and i have to charge more than once a day i have to run the display at max brightness to read it in all condition maybe it is because i am getting older and the eye are not all they once were but that also drain the battery more i figure the ultra will age much more gracefully for me extended battery life and brightness mean even a component degrade they will probably still be a good a the normal watch of course you get the extra stuff too though at 69 i will not be climbing everest or shooting the rapid but no one ha ever cursed extra durability or battery life i will probably wear it with a pedestrian apple leather link band and will enjoy the bigger display and the keyboard ever try to draw a password on a aw5 an exercise in frustration best to have your phone nearby so you can use it is keyboard,"['display', 'battery']"
46,i ordered one instantly on day one after the conference i may not need all it sport feature but i surely do want bigger display longest batter life ever and the brightest screen for outdoor use,['display']
47,please apple just give u a reflective transflective display quit trying to fight the sun with photon you are so close to practicality,['display']
48,the reason i am considering buying one of these flat screen curved screen are the worst thing to happen to mobile electronics because screen protector are inefficient and sometimes un doable if a fingerprint sensor is in the display samsung had to know about this before they introduced this plague onto the market but for some reason every engineer threw logic out of the window because they look cool or something it is the main reason i switched ecosystem no stupid curved screen or in screen fingerprint sensor imagine my frustration when i buy a series 7 apple watch and find my actual worst nightmare a flimsy curved screen that scratch if you look at it too often,['display']
49,if i am spending dollar800 on a smart watch it better have a battery way longer than 2 day i really hope hybrid screen with either e ink or layered segment display get some investment for this reason,"['display', 'battery']"
50,i hope they make an iphone ultra would love a flat display with a lip like that to make it rugged and not need an additional case,['display']
51,something some folk miss is that larger display mean easier for people with poor vision to read larger control mean easier to manipulate so if you are a larger older person this watch is more appealing than if you are a smaller or younger person before you even get to the other feature add being clumsy on top of it and yeah the ruggedness is nice too,['display']
52,i work outside with park and recreation a a groundskeeper and pre ordered this just for the ruggedness the flat display hopefully will keep dust and particle out of the bezel gap which is the main thing that drive me crazy about the regular apple watch a screen protector also never worked on the curved display a it would bubble up and peel after a couple of week i can not wait,['display']
53,sad part is that i really wanted a flat display i do not care about any of the other feaures just give me a flat glass screen like the iphones have the curved bezel make it impossible to use a screen protector my iphone 14 pro max ha flat glass my iphone 11 did not and the screen protector can go right against the edge that is all i need no curve no fat glass that is rounded off to give a depth 3d look this weighs more and is not needed apple should offer a watch 8 pro that follows the iphone pro design language,['display']
54,8 25 no i am not somebody who never owned a watch i just like the new form factor and especially the all flat display that is much better readable,['display']
55,please also review a garmin forerunner or enduro model to understand why ultra triathlon sporters use them a lot on the biking leg of a triathlon i really prefer to have my garmin bike computer edge 530 displaying bike gear power data heart rate cadence etc on a much bigger screen but much more important is garmin connect and the way it us all that data to give advice on training status readiness and many more data point if you want to use data to optimize your endurance activity a garmin is still the best choice for for casual endurance event finishing an ironman once to scratch it off a bucket list the apple watch ultra is sufficient,['display']
56,a an ultra runner and fan of apple product i have to say this watch doe not deliver what i find in a garmin or similar watch it would be a long list to compile my thought but two stick out the still lacking battery life not for one activity but over a full week of training and the lack of button there is so much muscle memory built into the way i use my garmin on the garmin i can go blindly to a specific data point while running i can not on a touch display or with the crown i still see this watch a a lifestyle item edit even more importantly this apple watch lack any recovery metric which is a major factor for judging training,"['display', 'battery']"
57,i do not need the ultra at all i have had the series 3 4 amp 6 all in stainless steel i am going to upgrade my series 6 to the ultra mainly because the series 8 is not much different to the 6 the cost difference is not a lot and i want a different design i will never use the diving hiking or mountain feature but doe that mean this watch is not for me i do not like how sometimes apple seems to suggest just because you will not use the feature the watch wa designed for that you should just get the se i want a bigger brighter screen i want a better battery same thing with the macbooks i am not a pro at all in any sense but i still prefer the macbook pro over the air and i usually want the 16inch pro just for the display quality and battery size my point is i always feel like i should not be buying these product or feel guilty for buying them just because they are not designed for my life case great video a always,"['display', 'battery']"
58,it is titanium ha a sapphire crystal display and an extra programmable button enough get on my wrist,['display']
59,maybe in future they will make a ultra iphone mkbhd it sound like that phone will be harder to brake i wish they make iphone ultra one some day and that can go 100 meter deep sapphire display it will be cool,['display']
60,i have a letsfit iw2 smartwatch it cost me 40 freedom unit shipped to my door doe everything a basic smartwatch need to do along with some custom display an app for android that work well the company is based out of fla i have had people who do not know ask if it is an apple watch and best of all the dang thing last nearly 10 day on a charge apple want 800 freedom unit for their watch and for what i need in a watch hell no,['display']
61,get a garmin watch it gps is awsome it is way way better than apple at golf with not a nice a display,['display']
62,i personally wish the regular watch did not have a curved display,['display']
63,my apple watch series 8 is coming today very excited i actually wanted the ultra but mostly for the battery life and the flat display but after thinking it over i just could not justify dollar800 for a watch that only had two feature i liked the rest of the feature i would probably never use it is a nice watch though it is also huge and i am a small female so it would probably be too big for my wrist apple please make a female version of the ultra,"['display', 'battery']"
64,i am actually surprise that this watch is compelling to me the gen 7 watch requires me to charge mid hike if i track my workout or else i risk loosing it also in the middle of the day heat in the desert i normally have to turn and place my watch in my shadow to see the screen lastly in 112 degree heat i found the watch overheated and would not display data i hope this ultra watch can stand up to the heat better the gps might be somewhat useful for navigating canyon where gps tends to get squirly but it not often you get lost in a canyon because there is normally only two direction to navigate,['display']
65,definitely overkill for me but i have a series 4 and had been wanting to update to a watch with always on display so i have an ultra on order people were expecting this pro watch to be over dollar1k which would have been an easy pas for me when it came in at dollar799 it made it appear a a bargain and motivated people to buy i think apple planted those gt dollar1k rumor,['display']
66,that is the same spot i am in i have a 4 which is still kicking but i would love an always on display,['display']
67,and they last for week longer than apple is watch ultra even in the ultra is 60 hour battery saving mode apple writes in the fine print of the product page that it turn off the heart rate and gps sensor just to make it last that long garmin ha both heart rate and gps going for at least 96 hour and multiple day longer if gps is turned off apple would have to change the display technology completely to be able to get it to last longer than 60 hour,"['display', 'battery']"
68,wonder how battery life and display match between samsung watch 5 pro and apple watch 8 ultra naming scheme go burrr,"['display', 'battery']"
69,funny how smartwatch battery is so important but no one talk about the amazfit smsrtwatches charged my gts 3 friday with always on display and notification on today is wednesday and i am still at 47percent,"['display', 'battery']"
70,review keep saying this is designed for the extreme user marcus briefly touched on who will truly buy this watch those people who simply want a better apple watch period who doe not want 2 3 day battery life who would not love a brighter display so it is big so what i am a bigger guy and this probably will not look too out of place on me this watch will sell ton and ton for every 1 person that buy it because they are an ultra marathoner or scuba diver they will sell 99 to an average person who will never use 99percent of the ultra feature i would not be surprised if in 2 or 3 year this rugged version becomes the normal version we could see a smaller 44 or 45 mm version for smaller wrist etc stop trying to convince average user that they should buy the se because it is all they will ever need the fact appears to be that the ultra is a good watch better in every way and that is why they will sell million,"['display', 'battery']"
71,nice review now i have to wait till november to get mine that flat display tho velcro strap are the way to go all my casios have velcro and this one will too by 3rd gen this watch will be solar thanks,['display']
72,2 day and night with always on display or without,['display']
73,apple can make regular apple watch with bigger battery and flat display but they will not because all they want is your hard earned money,"['display', 'battery']"
74,were you also using always on display when you got 2 5 day out of it thanks,['display']
75,this is way smaller and cheaper than my garmin watch i love the way it look and although my garmin epix 2 with oled display can last a full week even with heavy use i really like the look of this watch and the fact that it will complement the rest of the apple ecosystem,['display']
76,i think the apple watch will be a compulsary electronic device in the near future think about these apple glass will be released in 5 year and it is gon na be substitute phone but by the apple glass it can not take a selfie if apple watch have under display camera people can take a selfie by apple watch the size will be bigger than current watch series because battery and physical limitation just a the iphone series wa initially adapted to being larger than 4 inch to 6 inch it will also adapt to the larger watch apple glass itself may not be able to completely replace the phone but i think it will be possible to completely replace it with the help of the apple watch starting with the apple watch ultra more and more function are introduced and i am sure that the apple watch will invade the iphone is territory it is expected that apple glass will be used to consume content such a video viewing social medium and game and the apple watch will be a way to compensate for the shortcoming caused by the physical limitation of glass maybe my expectation are wrong and all function can be integrated with just one apple glass,"['display', 'battery']"
77,i think the watch ultra 2 may have the promotion display,['display']
78,i prefer the ultra naming scheme pro professional you do not need to be a professional to use the added feature of the airpods pro or the iphone pro whereas the pro xdr display and pro mac option are built for professional use i think apple should migrate consumer level high end product line to the ultra moniker ultra sound premium and will draw enthusiast without muddying the definition of the word pro,['display']
79,ugly watch i prefer a basic casio digital watch it ha an always on display and a 10 year battery even ha a backlight and best of all it tell the time whenever without pressing button,"['display', 'battery']"
80,smartwatches sadly still have some degree of compromise you can actually buy a smartwatch with a replaceable cell battery that last for an entire year but the catch is that the watch is a hybrid smartwatch and hybrid smartwatches prioritise being a watch over being a smart device ironically the first ever smartphone that paired to a phone wa actually a hybrid smartwatch the sony ericsson mbw 100 this watch wa a mechanical watch with an led display at the bottom for notification and music and had playback control on the side and incredibly there are still watch that follow similar principle the most modern one i have seen use e ink display a the watch face with hand that will move out of the way whenever you get a notification or navigate through certain menu and setting one of the popular example of a watch with this setup being fossil is hybrid hr watch these however do not have replaceable battery but do have rechargeable battery that only need recharging once every 2 week but another type is a hybrid watch that ha no display at all and will instead point to a number on the dial that you can assign to notification relating to an app or a contact personally i have not had a good experience with fossil is version of these watch on android i had syncing issue and on io it would only accept notification from apps that fossil had personally whitelisted no idea why especially since their hybrid hr watch support all apps but that is how it is but there are other company that make these including none other than armani these watch look like normal watch and do not use much power which is how they are able to keep going for an entire year or more but yeah i have not seen a single hybrid that support third party application and sadly they are rather underrated a watch sure they are more minimalist when it get to functionality but they do have a kind of secret agent spy watch kind of quality to them that i think make them stand out,"['display', 'battery']"
81,i know they are not in the same market bracket but a a long time amazfit user it make me chuckle when people are shocked they get more than a day out of their watch i still have basically all feature 98percent of anyone buying this will ever use but charging more than once a week is not a thing even with always on display active i can not fathom why people accept le than a day battery on stuff,"['display', 'battery']"
82,galaxy watch 4 baby i do construction and it is amazing i get 2 day on it always on display google ect 800bucks is way too much,['display']
83,would not the theater mode have affected battery life since it would not turn on the display when you raise your watch until you touch it,"['display', 'battery']"
84,so i could see many ordinary apple watch user with a normal or larger wrist who would have gotten the stainless steel 45mm apple watch that also ha a sapphire crystal get this instead which get them an even larger display much better battery life the extra button and louder speaker and even more rugged for close to the same price in fact the series 7 45mm stainless steel with the milanese loop wa also dollar799 great in depth review mkbhd a always,"['display', 'speaker', 'battery']"
85,what if someone who isnt a avid hiker or anything like that want this watch just cause it a bigger display and battery life i have a bigger wrist so the ultra would look normal on me,"['display', 'battery']"
86,frankly i just got myself a huawei gt3 pro last me 12 day or so if i do not put always on display and i can do everything the new apple ultra watch can do and it is only 300 usd and there r decent discount in u a e where i live n work the only pain point is loading it i sincerely suggest that u check it out,['display']
87,total overkill for the vast majority of smart watch user a you say but people will buy it in their drove to have the latest and greatest and justify it with the added durability battery life and the display etc which is fine but when it come to the cost it is gbp70 more than the stainless steel series 8 gbp6 month on interest free credit over 12 month and the added functionality make it a much easier choice your money spend it how you want,"['display', 'battery']"
88,to me this doe not get me there i bought an garmin epix 2 this year which is a fenix with that nice oled screen instead of that bland battery saving display that sacrifice some battery but still i get 14 day on that thing with at least an hour of activity every day and with display always on i still get a week sure this doe not have the superb smartwatch feature that apple watch have but the garmin watch are league ahead in activity feature seems to me that if you are into the hole ultra aspect big hike long run and diving the garmin feature set should be so much more appealing especially combined with the battery would love to here a counter point to this,"['display', 'battery']"
89,the apple watch ultra is essentially killing the very high end gadget the same way that the pro display xdr did,['display']
90,can you try golf apps i am curious a to the display offering with the ultra watch and determine if it worth getting over a garmin watch,['display']
91,always on display is not a feature for a niche audience on a watch a much a i like apple is implementation of the display that turn on only when you flick your wrist it is not a nice way to check time at a glance once you start having it there is no going back to the old technology it is also much nicer when you are talking to someone to be able to glance in a discreet way without making it look like you are bored or in a hurry to stop the conversation,['display']
92,there is one more class of people the one who want the latest and greatest from apple they are not pro in the normal sense of the word but they need top of the line device because of just who they are and the fact that they have money to spare it those people who buy the pro display xdr stand or the mac pro wheel those who buy macbook pro just to run gmail on it i think this group is going to be the majority even more than the extreme athlete,['display']
93,is not the surrounding bezel huge in display coverage it like series 7 going back to series5 and 2years down the time we have slightly larger display in the same form factor how doe california apple watch face look on ultra,['display']
94,take away all the gimmick that your normal average person doe not do consistently like diving and hiking just add in the big battery and better display but lower the price and this would be worth it other than that it is really overpriced like many of apple product usually are,"['display', 'battery']"
95,dollar800 no nada not worth it at all let is do an actual breakdown of actual usefulness of any other feature other than telling time for an item that just mostly sits there and display a time most use their similarly priced phone it is a huge waste of money i put this in the same category a owning a fancy rolex that doe the exact same thing a a citizen,['display']
96,i switched to a garmin fenix series because i got tired of charging the apple watch every night the day when you forget to charge or do not have access to a charger mean you have a one day watch the fenix ha a 3 week battery with basic function but the screen display is not a nice maybe this watch would be nice if it had a lower battery mode to stretch it out to a week or so,"['display', 'battery']"
97,one niche segment that is likely bigger than any of the sport oriented one you and apple have mentioned is the large watch wearer there are million of people that simply found all other apple watch too small period nothing else this watch is for them next you have people like me the new styling is one of the strongest selling point flat display being key i could have done with 46mm but it is the style nonetheless and of course the obvious battery life watch ultra is going to sell like crazy if initial availability condition are any indicator,"['display', 'battery']"
98,one aspect of the apple watch ultra that i think is getting under reported is the change to the screen a flat screen protected by a titanium lip is going to be a lot harder to scratch than the rounded display of the past i have owned four apple watch the series 1 2 4 and 6 even with the sapphire glass every one of them ha been nicked and scratched over the course of normal were now i am a mechanic that always forgets to take his watch off when he is digging in an engine but even reducing that amount of screen damage over time is almost reason enough to buy the ultra at least in my estimation i think that people who do a lot of manual labor will dig the update and see it a a legitimate reason to upgrade,['display']
99,so when it come to the ultra v garmin just an example battery life there are a couple of other thing that help garmin achieve that long battery charge like the screen are very different lcd v a basic transflective display the power need between the two are the far end of the spectrum the new garmin epix 2 only go maybe a few day with normal use apple make a much better everyday smartwatch over garmin disclosure i have a series 7 and a fenix 6 over garmin while i have not tried any of the new touchscreen garmin is however they both have their place i prefer the apple watch right now and have my fenix for when i play golf or go for any hiking i have yet to have tried the new watchos 9 for hiking on the apple watch so i can not compare yet,"['display', 'battery']"
100,i wish they could stick 2000 nit bright display and better battery into the usual form factor of apple watch 8 not a fan of the thick titanium frame around,"['display', 'battery']"
101,you do not need to use theatre mode to make the display not responsive when using workout all you need to use is water lock swipe left when starting a workout and it will lock the screen from touch input,['display']
102,good review i turned off the always on display on my series 7 and it usually get 48 hour of life if they made a smaller version of the ultra i would probably get it for now it is too big,['display']
103,i have got a dive computer rrp gbp700 it is a huge display but i only use it when i am diving this watch might be interesting to use for recreational diving i am not switching a my computer is synced with my air integrated system and i got my computer for half that price,['display']
104,this is not a watch for professional athlete this is more like for people who want a stronger watch for weekd hiking or for occasional shorter running and they like the apple watch i think it would be really good for diver but other sport im not sure cycling nope it is not possible to connect any plugins rear radar watt meter or display ultra runner trail runner how they say nope if someone is running longer than according to apple 17 hour he will be out of battery thru hiker i do not think so 300 500mah of battery you need every evening if you are out in mountain for 1 2 week you do not want to spare energy on watch or take second power bank just for watch i wished that aw ultra will be suitable for athlete and put a proper battery and connectivity in to it but no maybe 2 or 3 gen will be better make it 30 hour on battery with gps add connectivity and i will pay anything,"['display', 'battery']"
105,keaton anderson there are mechanical watch that run for year on end there are also sport watch with display that run for month and there are sport smartwatches like the garmin epix 2 that have week of battery life whilst also having vastly more feature than the ultra and p it doe not look like a brick apple is not there yet especially for actual sport us,"['display', 'battery']"
106,got the series 8 45mm today i can not seem to find my step to display on watch face,['display']
107,liked your objective review got my ultra yesterday and have it setup pretty well but can not find how to have the top face complication show while compass ring is displayed any help,['display']
108,you can setting gt display amp brightness gt wake on crown up now you can turn off wake on wrist raise and then if you scroll the crown up it will slowly increase the brightness,['display']
109,it would be cool to have under the display solar panel for charging,['display']
110,id say the biggest improvement to the ultra can be the actual transferring of many more apps from your iphone to your watch so you can essentially justify the hefty price tag by being able to have somewhat of a portable cell phone on your wrist i got the ultra a my first apple watch ever because of the screen size although i like the 49mm display i know a lot of people will disagree with me here lol but i would love a 53 mm display for the screen size also again allow u to bring apps for the apple watch such a offerup snapchat facebook twitter instagram waze gps amazon ebay etc,['display']
111,i would be interested in new case material such a cobalt chromium which would be more scratch resistant and providing a more premium finish also perhaps we will see an intermediate model between the ultra and non ultra model such a a pro model that ha an action button but not a recessed display i suspect the temperature sensor feature will be improved and used for improved sleep tracking,['display']
112,since your bmi will not change throughout the day why would you need a sensor on your watch having smart connector would allow medical device inventor create specialized band which leverage the display and connectivity,['display']
113,i have a series 4 the battery is awful can not decide if i should get the se or if the always on display is worth getting the 8,"['display', 'battery']"
114,which apple watch wa used for the display,['display']
115,how to keep the display always on in apple watch,['display']
116,i just got an apple watch for some reason not all my apps went to my watch i have an app called poshmark when i look on my phone under apple watch it show under mirror iphone alers but wont display on my apple watch and i want that app on my applewatch is it possible to do thanks,['display']
117,i wa in the apple store today and the watch can not be setup without an iphone which mean the apple watch is distinctly an iphone peripheral which i think is a bad design choice especially for modern time when an tablet device can do everything a phone can an more for instance i can call people using facebook messenger which begs serious question of using a mobile phone service provider but that is another topic consider that the ipod mini ha a display and a designer made an app and case that allowed it to be used a a stand alone watch many should feel uneasy having to own an iphone to use the watch most smart watch distinctly can independently be used a a watch and computing device you can download apps onto and then also take advantage of the feature that allow it to be used a a smart phone peripheral,['display']
118,question if my phone display time in the 24 hour notation will it also be displayed that way on the watch,['display']
119,thanks buddy for the info i just wanted to know if we can change the temperature unit from deg frnht to deg celcius also if we can display a contact number on apple watch,['display']
120,doe apple watch ha always on display feature,['display']
121,i have the butterfly motion on my watch but it will not let me display the battery life with it how do i do that,"['display', 'battery']"
122,i wish i had seen this much earlyer it took me 10 month to self decide if i want to get one or not and i did get one 2 week ago series 7 aluminiu green to match the green theme i went for airpods max green iphone 13 pro max alpine green and soon imac 2021 by start of year in 2023 or maybe december 2 year ago i owned iphone se2 and i wish i had the watch then the ability to unlock that annoying touch id wa a nightmare with face id i never had issue but damn for touch id in outdoors sucked i do think i will not enable the feature to unlock my watch iphone or imac with watch mainly for security reason aswell with applepay pretty much anyone can use those aslong a you have the watch on your hand and i sure do not trust ppl with my device acessability for it is awesome i must say for yt and it run smothly with synergy on iphone the display is watchable considering it 45mm size bright and loud aswell i still do not get workout and calorie but oh well i guess i need time to learn those thing you never get teached but self learn sometimes it reach double sometimes 5 to 6 time the goal and yet im not seeing a difference even though my diet is the same it just show me how active i am i guess one benefit of it is heath it show alot of data regarding it although i never enabled my acct on it it good to have in case i decide to i guess seeing weather data on it is great aswell shortly for me it ha 3 benefit synergy with iphone seeing data i need to check daily in no time spend to grab my iphone and tap to see and health info,['display']
123,45mm 1 9 display,"['display', 'display']"
124,good list i literally use apple pay every day on the apple watch it is one of the best feature and even work without a phone nearby i also have the steel version and really like the sapphire display since it resists scratch so much better than non sapphire i activated cellular and now leave my phone behind quite a bit one note about the series 7 the faster charging is a real plus i now charge before bed and use it for sleep tracking which is something i did not do with prior version since it took too long to charge nice video btw subscribed,['display']
125,mata toto i have noticed that it is a very apple thing to do to release an amazing product that catch everyone is attention however upon critical view you will notice that in many regard it is still an inferior product compared everything else that is on the market one of the best example of this strategy is the iphone 1 it ha not 3g while everyone else already had it at the time it can not sent mm message while everyone at the time had been doing that for year already however it did have a capacitive touch display in a time period when everyone wa stuck using inferior resistive touch display or simply not even having a touch display of any kind the development of the io is also full of example like this and that is why for many many year it wa entirely valid to call it a crippled o compared to android nowadays apple ha finally caught up with a lot of that technical debt but it is still pretty sad how many absolutely crucial basic feature came several year late,['display']
