,sequence,labels,scores,classified,Components List,label confidence score
13,i decided to charge my ultra and run it till the battery wa dead i performed my normal use a few phone call texting daily work out and kept on normal power mode and always on display i got exactly 54 hour and 10 minute big improvement,"['Design Specifications', 'Software', 'Advertising']","[0.5624712705612183, 0.23570814728736877, 0.20182059705257416]",Design Specifications,"['display', 'battery']",0.5624712705612183
14,man doing any smartphone stuff on that display would be as and probably make your finger cramp up in about 30 second,"['Design Specifications', 'Software', 'Advertising']","[0.5323299765586853, 0.284576952457428, 0.1830930858850479]",Design Specifications,['display'],0.5323299765586853
15,just ordered my ultra because i currently have a series 7 small screen product red i originally got solely for working out to replace my series 3 big display but found myself hating it cause of the battery and the size wa not big enough to do anything with plus always thought the watched looked ugly regardless of the size and color and resembled a spy kid watch looking forward to the ultra and seeing if the battery life and big screen make it a good solution a far a the spy kid look i would not be wearing any apple watch to the met gala anytime soon put it that way,"['Design Specifications', 'Software', 'Advertising']","[0.44136112928390503, 0.34425100684165955, 0.21438784897327423]",Design Specifications,"['display', 'battery']",0.44136112928390503
16,i think it look like one of the first smartwatches like a mini smartphone strapped to the wrist i am an extreme sport person skydive basejump wingsuit dive freedive rock climbing etc and to me the biggest issue is the form factor entanglement and battery life there no way 2 day is enough my go to watch is a garmin descent g1 solar it look like a gshock is super durable ha gps is a full blown dive computer without subscription and ha week of battery life with solar recharging to me the apple watch ultra is like a porsche suv it for people who want to feel a if without actually needing the functionality a hiker can use the normal apple watch a runner a well a real diver not just 1 2 scuba dive occasionally per year would not trust this watch in the mountain and snow the cold will drain the battery even faster i also do not like the display bright sunlight and polarized sunglass will make it hard to read garmin us a technology where the watch becomes better readable the more sunlight reflects off the screen,"['Design Specifications', 'Software', 'Advertising']","[0.4708501398563385, 0.3279631435871124, 0.20118673145771027]",Design Specifications,"['display', 'battery']",0.4708501398563385
17,their strategy for this replacing ultra watch dive computer reminds me of how they targeted expensive color correction monitor with the pro display,"['Design Specifications', 'Software', 'Advertising']","[0.5515113472938538, 0.2450147420167923, 0.20347385108470917]",Design Specifications,['display'],0.5515113472938538
18,i still think for hiking other outdoor activity and battery life the garmin fenix 7 7 7x is the way to go my fenix 7x with everything turned always on display except the 5 satellite my battery last 3 week if you turn every extra stuff off then the battery last 1 year if i have the 5 satellite turned on for hiking and other activity then the battery last 48 hour the garmin map and tracking are superior for hiking and ultra marathon most people do not know about the garmin fenix and epic watch you should check them out,"['Design Specifications', 'Software', 'Advertising']","[0.6364668607711792, 0.2201511263847351, 0.1433820277452469]",Design Specifications,"['display', 'battery']",0.6364668607711792
19,4m view but yet you fail to mention the ultra doe not have edge to edge display what a step backwards who care about a 49mm screen if the display is only 47mm with an unusable black bezel around the display how irresponsible of apple to fail to mention this going right back they are not getting my dollar800 to downgrade,"['Design Specifications', 'Software', 'Advertising']","[0.415571004152298, 0.29815956950187683, 0.2862693965435028]",Design Specifications,['display'],0.415571004152298
20,love the new design of this new apple watch ultra however i think apple should also get a smaller size a displayed on the apple watch 8 so people with smaller wrist can also enjoy the funky design too,"['Software', 'Advertising', 'Design Specifications']","[0.48979678750038147, 0.2617490589618683, 0.24845418334007263]",Software,['display'],0.48979678750038147
21,pro actually ha more of an elegant feel not a rugged feel okay perhaps not the pro display but everything else,"['Design Specifications', 'Software', 'Advertising']","[0.5134720802307129, 0.33304449915885925, 0.15348337590694427]",Design Specifications,['display'],0.5134720802307129
22,imagine solar panel under the display that would be a game changer,"['Design Specifications', 'Advertising', 'Software']","[0.49288666248321533, 0.2830270230770111, 0.22408632934093475]",Design Specifications,['display'],0.49288666248321533
23,did you have display on through your test,"['Design Specifications', 'Software', 'Advertising']","[0.34076717495918274, 0.3307737410068512, 0.3284590542316437]",Design Specifications,['display'],0.34076717495918274
24,actually iwatch ultra is a watch for people who want to display status on their wrist people who do those extreme type of sport are better off with a watch that is specifically made for their type of activity and that is what you gon na see in the end like 90percent of people who will wear this watch will propably use it to check their message,"['Design Specifications', 'Software', 'Advertising']","[0.601432204246521, 0.2121214121580124, 0.18644630908966064]",Design Specifications,['display'],0.601432204246521
25,i am just a regular user who need a resistant case to my job in an ambulance and like the design or the bigger display and more brightness from the ultra and i am not in your draw,"['Design Specifications', 'Software', 'Advertising']","[0.7877784967422485, 0.12837213277816772, 0.08384932577610016]",Design Specifications,['display'],0.7877784967422485
26,unske the dual frequency gps is super useful for me with photography and i will leave my phone at home when i go out it also ha very good triangulation with the mics so no wind noise come in i also can take this watch skiing and have a big enough display for my huge hand the night display help with night photography it is great for me to each their own,"['Design Specifications', 'Software', 'Advertising']","[0.6764242649078369, 0.18673324584960938, 0.13684247434139252]",Design Specifications,['display'],0.6764242649078369
27,impressive feature and beautiful display but miss the mark big clunky and mediocre battery life this ultramarathoner will stick with coros,"['Design Specifications', 'Advertising', 'Software']","[0.7537488341331482, 0.12839442491531372, 0.11785674095153809]",Design Specifications,"['display', 'battery']",0.7537488341331482
28,apple ha really upped their game with this watch i am impressed however i am an avid garmin fenix 7x user and previous 6x owner i know the ultra should be compared to the epix 2 based on battery life and screen but i opted for the bigger and better for longevity i think apple is on the right track if their goal is to keep gain even the extreme adventurer interested i must say i am really digging the look of this ultra and would love to see where they go with it there are some small feature on the ultra i wish would be on the fenix but it go both way even though the fenix 7x is a little overkill for my us it still brings an app that is a capable on android a it is on io it is not an amoled screen but it still touch capable and the reflective display is super readable in sunlight and add to the overall 28 day average batter life fenix 7x is a watch i know i can also make last 5 year minimum with feature that will be a strong then a they are now,"['Advertising', 'Design Specifications', 'Software']","[0.37145140767097473, 0.3549843728542328, 0.2735642194747925]",Advertising,"['display', 'battery']",0.37145140767097473
29,the best fitness tracker doe not even have a display all apple needed to do wa make the 8 slightly thicker for the battery charged 600 rather than 800 and called it a pro,"['Design Specifications', 'Advertising', 'Software']","[0.4372899532318115, 0.39821404218673706, 0.16449597477912903]",Design Specifications,"['display', 'battery']",0.4372899532318115
30,with the regular apple watch 8 or se could i get 2 day if i turn off always on display and use it lightly,"['Software', 'Design Specifications', 'Advertising']","[0.4146227538585663, 0.40943366289138794, 0.17594359815120697]",Software,['display'],0.4146227538585663
31,this watch ha an absolutely enormous pull for me a an astronomer it ha a red filter for the display which is absolutely crucial for astronomy to protect night vision my current apple watch if i accidentally tilt my wrist kill my night vision however the biggest reason is the waypoint marker often u astronomer need to travel far and to remote location to find darker sky my closest dark sky area is beautiful but ha absolutely zero signal of any degree and can be pretty easy to get lost something like the waypoint marker if accurate and reliable would massively increase my confidence and enjoyment traveling to remote site and further my enjoyment of astronomy,"['Design Specifications', 'Advertising', 'Software']","[0.8067905902862549, 0.10470310598611832, 0.08850622922182083]",Design Specifications,"['display', 'display']",0.8067905902862549
32,is the display flippable so that the crown can be on the left for ppl who prefer to where the watch on right wrist,"['Design Specifications', 'Software', 'Advertising']","[0.5749289989471436, 0.3290274143218994, 0.09604360908269882]",Design Specifications,['display'],0.5749289989471436
33,i just think it crazy apple sell a 60hz display phone for 900 buck in 2022,"['Advertising', 'Design Specifications', 'Software']","[0.5194861888885498, 0.388459712266922, 0.0920540988445282]",Advertising,['display'],0.5194861888885498
34,ha nobody here heard of the garmin epix it blow the apple watch out of the water except for one thing it is not in the apple ecosystem but still having owned both i sticked with the epix because of the 2 week battery life with always on display very accurate metric the button all the available information in widget and not almost everybody already wear a garmin epix unlike a apple watch,"['Software', 'Design Specifications', 'Advertising']","[0.4682339131832123, 0.3332013785839081, 0.19856472313404083]",Software,"['display', 'battery']",0.4682339131832123
35,i have been using a huawei watch gt2 for the last couple of year it doe not have all the function of android or apple but i get my notification and can answer or decline phonecalls and it also show the time but the battery life is just insane i get a full week with always on display last night when i came home around 5pm i had 13percent battery left i wa like eh i will charge it tomorrow night,"['Software', 'Design Specifications', 'Advertising']","[0.4530196487903595, 0.2775239050388336, 0.2694564163684845]",Software,"['display', 'battery']",0.4530196487903595
36,marque if you are wearing your watch on the right arm please rotate the display in setting so the crown is easier to access,"['Design Specifications', 'Software', 'Advertising']","[0.4195164740085602, 0.3690394461154938, 0.21144409477710724]",Design Specifications,['display'],0.4195164740085602
37,what kind of car do you drive that ha that huge display,"['Design Specifications', 'Advertising', 'Software']","[0.5537082552909851, 0.3458528518676758, 0.1004389226436615]",Design Specifications,['display'],0.5537082552909851
38,see viewer how apple fan boy aka digital slave justify that 800dollar when pixel 6a came with 60hz display this guy just criticize but now ip14 and again 800dollar iwatch these manipulator are the cancer of tech world,"['Software', 'Design Specifications', 'Advertising']","[0.4401252567768097, 0.3567894995212555, 0.20308524370193481]",Software,['display'],0.4401252567768097
39,my apple watch series 3 just broke i bought the apple watch ultra do i scuba dive no do i do trialthalons no do i want a longer battery life bigger display and a cooler looking watch yes mine should arrive in two day excited,"['Software', 'Design Specifications', 'Advertising']","[0.41427209973335266, 0.3185961842536926, 0.2671317458152771]",Software,"['display', 'battery']",0.41427209973335266
40,speaking from an electrical engineering nerd perspective i just geek had to have it for the large display i am a big guy too so the large size will not bother me also being in my mid 40 is helping out my eyesight a well also big upgrade for me a i am still rocking a series 2 apple watch can not wait for my delivery,"['Design Specifications', 'Software', 'Advertising']","[0.6996915340423584, 0.19892056286334991, 0.10138789564371109]",Design Specifications,['display'],0.6996915340423584
41,a someone who dive recreational it probably will not replace my dive computer yet i am excited to see the next generation on what it can possibly do though the current pro i see automatically log your dive if you do electronic dive log share your dive with everyone else perhaps give you more tangible feedback if you are ascending or descending too quickly like bigger vibration sometimes hearing the beep in the ocean is quite hard what i hope it can do in the future gps tracking of all of your dive buddy and group if they wear the ultra or some water proof airtag there were moment where i dove with only 1m of visibility so it can be hard to track anyone down there if they had a radar display or an arrow that point where your dive buddy is and how far that will be neat,"['Software', 'Design Specifications', 'Advertising']","[0.5835908055305481, 0.21575741469860077, 0.20065180957317352]",Software,['display'],0.5835908055305481
42,2 full day with always on display on or off did not mention bro,"['Design Specifications', 'Software', 'Advertising']","[0.42735469341278076, 0.32272791862487793, 0.24991732835769653]",Design Specifications,['display'],0.42735469341278076
43,1 on this i have had apple watch since the very first one and do not use any of the health or fitness feature at all so while i will happily take the extra battery life i do not really need it since i already finish the day with gt 50percent battery life however the ultra appeal to me because the display technically cover glass of my apple watch get so beat up and putting a screen protector on the curved glass look feel weird to me so i do not,"['Advertising', 'Software', 'Design Specifications']","[0.35462209582328796, 0.3227770924568176, 0.3226008117198944]",Advertising,"['display', 'battery']",0.35462209582328796
44,i tried the series 2 and series 5 both left me disappointed a fitness watch one of my complaint wa the button not enough button to be able to do thing during run and when sweat wa everywhere maybe 1 extra button plus the crown for scrolling will fix that the native exercise apps never impressed me and did not display the data i wanted or in the configuration i wanted i like the apple watch a a smart watch and fashion statement and always wanted it to work a both but now the ultra ha the sport capability and the look is not sleek and fashionable a the base model so it still doe not work for me i will keep my garmin i guess,"['Software', 'Design Specifications', 'Advertising']","[0.4468558728694916, 0.32423311471939087, 0.22891096770763397]",Software,['display'],0.4468558728694916
45,my series 5 which i am replacing ha 88percent battery health and i have to charge more than once a day i have to run the display at max brightness to read it in all condition maybe it is because i am getting older and the eye are not all they once were but that also drain the battery more i figure the ultra will age much more gracefully for me extended battery life and brightness mean even a component degrade they will probably still be a good a the normal watch of course you get the extra stuff too though at 69 i will not be climbing everest or shooting the rapid but no one ha ever cursed extra durability or battery life i will probably wear it with a pedestrian apple leather link band and will enjoy the bigger display and the keyboard ever try to draw a password on a aw5 an exercise in frustration best to have your phone nearby so you can use it is keyboard,"['Advertising', 'Design Specifications', 'Software']","[0.3914523720741272, 0.3814619779586792, 0.2270856499671936]",Advertising,"['display', 'battery']",0.3914523720741272
46,i ordered one instantly on day one after the conference i may not need all it sport feature but i surely do want bigger display longest batter life ever and the brightest screen for outdoor use,"['Design Specifications', 'Software', 'Advertising']","[0.5201451778411865, 0.2820615768432617, 0.19779330492019653]",Design Specifications,['display'],0.5201451778411865
47,please apple just give u a reflective transflective display quit trying to fight the sun with photon you are so close to practicality,"['Design Specifications', 'Advertising', 'Software']","[0.4099428653717041, 0.3050021827220917, 0.2850549519062042]",Design Specifications,['display'],0.4099428653717041
48,the reason i am considering buying one of these flat screen curved screen are the worst thing to happen to mobile electronics because screen protector are inefficient and sometimes un doable if a fingerprint sensor is in the display samsung had to know about this before they introduced this plague onto the market but for some reason every engineer threw logic out of the window because they look cool or something it is the main reason i switched ecosystem no stupid curved screen or in screen fingerprint sensor imagine my frustration when i buy a series 7 apple watch and find my actual worst nightmare a flimsy curved screen that scratch if you look at it too often,"['Design Specifications', 'Software', 'Advertising']","[0.5541045665740967, 0.2671050429344177, 0.17879042029380798]",Design Specifications,['display'],0.5541045665740967
49,if i am spending dollar800 on a smart watch it better have a battery way longer than 2 day i really hope hybrid screen with either e ink or layered segment display get some investment for this reason,"['Design Specifications', 'Advertising', 'Software']","[0.43009862303733826, 0.3773418664932251, 0.19255951046943665]",Design Specifications,"['display', 'battery']",0.43009862303733826
50,i hope they make an iphone ultra would love a flat display with a lip like that to make it rugged and not need an additional case,"['Design Specifications', 'Advertising', 'Software']","[0.3681304454803467, 0.33523693680763245, 0.2966325879096985]",Design Specifications,['display'],0.3681304454803467
51,something some folk miss is that larger display mean easier for people with poor vision to read larger control mean easier to manipulate so if you are a larger older person this watch is more appealing than if you are a smaller or younger person before you even get to the other feature add being clumsy on top of it and yeah the ruggedness is nice too,"['Design Specifications', 'Software', 'Advertising']","[0.5918219089508057, 0.23005567491054535, 0.1781224012374878]",Design Specifications,['display'],0.5918219089508057
52,i work outside with park and recreation a a groundskeeper and pre ordered this just for the ruggedness the flat display hopefully will keep dust and particle out of the bezel gap which is the main thing that drive me crazy about the regular apple watch a screen protector also never worked on the curved display a it would bubble up and peel after a couple of week i can not wait,"['Design Specifications', 'Advertising', 'Software']","[0.7555136680603027, 0.1341967135667801, 0.1102895438671112]",Design Specifications,['display'],0.7555136680603027
53,sad part is that i really wanted a flat display i do not care about any of the other feaures just give me a flat glass screen like the iphones have the curved bezel make it impossible to use a screen protector my iphone 14 pro max ha flat glass my iphone 11 did not and the screen protector can go right against the edge that is all i need no curve no fat glass that is rounded off to give a depth 3d look this weighs more and is not needed apple should offer a watch 8 pro that follows the iphone pro design language,"['Software', 'Design Specifications', 'Advertising']","[0.4135693609714508, 0.343820184469223, 0.24261048436164856]",Software,['display'],0.4135693609714508
54,8 25 no i am not somebody who never owned a watch i just like the new form factor and especially the all flat display that is much better readable,"['Design Specifications', 'Advertising', 'Software']","[0.6447754502296448, 0.2526957094669342, 0.10252884775400162]",Design Specifications,['display'],0.6447754502296448
55,please also review a garmin forerunner or enduro model to understand why ultra triathlon sporters use them a lot on the biking leg of a triathlon i really prefer to have my garmin bike computer edge 530 displaying bike gear power data heart rate cadence etc on a much bigger screen but much more important is garmin connect and the way it us all that data to give advice on training status readiness and many more data point if you want to use data to optimize your endurance activity a garmin is still the best choice for for casual endurance event finishing an ironman once to scratch it off a bucket list the apple watch ultra is sufficient,"['Software', 'Design Specifications', 'Advertising']","[0.4282354712486267, 0.4190322160720825, 0.15273232758045197]",Software,['display'],0.4282354712486267
56,a an ultra runner and fan of apple product i have to say this watch doe not deliver what i find in a garmin or similar watch it would be a long list to compile my thought but two stick out the still lacking battery life not for one activity but over a full week of training and the lack of button there is so much muscle memory built into the way i use my garmin on the garmin i can go blindly to a specific data point while running i can not on a touch display or with the crown i still see this watch a a lifestyle item edit even more importantly this apple watch lack any recovery metric which is a major factor for judging training,"['Software', 'Design Specifications', 'Advertising']","[0.3792695701122284, 0.3319510817527771, 0.2887793183326721]",Software,"['display', 'battery']",0.3792695701122284
57,i do not need the ultra at all i have had the series 3 4 amp 6 all in stainless steel i am going to upgrade my series 6 to the ultra mainly because the series 8 is not much different to the 6 the cost difference is not a lot and i want a different design i will never use the diving hiking or mountain feature but doe that mean this watch is not for me i do not like how sometimes apple seems to suggest just because you will not use the feature the watch wa designed for that you should just get the se i want a bigger brighter screen i want a better battery same thing with the macbooks i am not a pro at all in any sense but i still prefer the macbook pro over the air and i usually want the 16inch pro just for the display quality and battery size my point is i always feel like i should not be buying these product or feel guilty for buying them just because they are not designed for my life case great video a always,"['Design Specifications', 'Software', 'Advertising']","[0.4661654829978943, 0.2788921594619751, 0.2549424171447754]",Design Specifications,"['display', 'battery']",0.4661654829978943
58,it is titanium ha a sapphire crystal display and an extra programmable button enough get on my wrist,"['Design Specifications', 'Software', 'Advertising']","[0.9134621620178223, 0.06526029855012894, 0.02127760276198387]",Design Specifications,['display'],0.9134621620178223
59,maybe in future they will make a ultra iphone mkbhd it sound like that phone will be harder to brake i wish they make iphone ultra one some day and that can go 100 meter deep sapphire display it will be cool,"['Design Specifications', 'Software', 'Advertising']","[0.37264811992645264, 0.36201998591423035, 0.2653319239616394]",Design Specifications,['display'],0.37264811992645264
60,i have a letsfit iw2 smartwatch it cost me 40 freedom unit shipped to my door doe everything a basic smartwatch need to do along with some custom display an app for android that work well the company is based out of fla i have had people who do not know ask if it is an apple watch and best of all the dang thing last nearly 10 day on a charge apple want 800 freedom unit for their watch and for what i need in a watch hell no,"['Design Specifications', 'Software', 'Advertising']","[0.43039214611053467, 0.30634066462516785, 0.26326724886894226]",Design Specifications,['display'],0.43039214611053467
61,get a garmin watch it gps is awsome it is way way better than apple at golf with not a nice a display,"['Design Specifications', 'Software', 'Advertising']","[0.5995095372200012, 0.2027936726808548, 0.19769679009914398]",Design Specifications,['display'],0.5995095372200012
62,i personally wish the regular watch did not have a curved display,"['Design Specifications', 'Advertising', 'Software']","[0.5791723132133484, 0.2422768622636795, 0.17855076491832733]",Design Specifications,['display'],0.5791723132133484
63,my apple watch series 8 is coming today very excited i actually wanted the ultra but mostly for the battery life and the flat display but after thinking it over i just could not justify dollar800 for a watch that only had two feature i liked the rest of the feature i would probably never use it is a nice watch though it is also huge and i am a small female so it would probably be too big for my wrist apple please make a female version of the ultra,"['Software', 'Advertising', 'Design Specifications']","[0.3957924544811249, 0.3534494638442993, 0.2507580518722534]",Software,"['display', 'battery']",0.3957924544811249
64,i am actually surprise that this watch is compelling to me the gen 7 watch requires me to charge mid hike if i track my workout or else i risk loosing it also in the middle of the day heat in the desert i normally have to turn and place my watch in my shadow to see the screen lastly in 112 degree heat i found the watch overheated and would not display data i hope this ultra watch can stand up to the heat better the gps might be somewhat useful for navigating canyon where gps tends to get squirly but it not often you get lost in a canyon because there is normally only two direction to navigate,"['Software', 'Design Specifications', 'Advertising']","[0.3764488697052002, 0.3628469407558441, 0.2607041597366333]",Software,['display'],0.3764488697052002
65,definitely overkill for me but i have a series 4 and had been wanting to update to a watch with always on display so i have an ultra on order people were expecting this pro watch to be over dollar1k which would have been an easy pas for me when it came in at dollar799 it made it appear a a bargain and motivated people to buy i think apple planted those gt dollar1k rumor,"['Advertising', 'Design Specifications', 'Software']","[0.6848722696304321, 0.2321462482213974, 0.08298147469758987]",Advertising,['display'],0.6848722696304321
66,that is the same spot i am in i have a 4 which is still kicking but i would love an always on display,"['Design Specifications', 'Advertising', 'Software']","[0.40464216470718384, 0.3026863634586334, 0.29267141222953796]",Design Specifications,['display'],0.40464216470718384
67,and they last for week longer than apple is watch ultra even in the ultra is 60 hour battery saving mode apple writes in the fine print of the product page that it turn off the heart rate and gps sensor just to make it last that long garmin ha both heart rate and gps going for at least 96 hour and multiple day longer if gps is turned off apple would have to change the display technology completely to be able to get it to last longer than 60 hour,"['Design Specifications', 'Software', 'Advertising']","[0.34679466485977173, 0.3323144018650055, 0.3208909034729004]",Design Specifications,"['display', 'battery']",0.34679466485977173
68,wonder how battery life and display match between samsung watch 5 pro and apple watch 8 ultra naming scheme go burrr,"['Design Specifications', 'Software', 'Advertising']","[0.45745590329170227, 0.40342333912849426, 0.13912080228328705]",Design Specifications,"['display', 'battery']",0.45745590329170227
69,funny how smartwatch battery is so important but no one talk about the amazfit smsrtwatches charged my gts 3 friday with always on display and notification on today is wednesday and i am still at 47percent,"['Design Specifications', 'Software', 'Advertising']","[0.47394266724586487, 0.38069263100624084, 0.1453647017478943]",Design Specifications,"['display', 'battery']",0.47394266724586487
70,review keep saying this is designed for the extreme user marcus briefly touched on who will truly buy this watch those people who simply want a better apple watch period who doe not want 2 3 day battery life who would not love a brighter display so it is big so what i am a bigger guy and this probably will not look too out of place on me this watch will sell ton and ton for every 1 person that buy it because they are an ultra marathoner or scuba diver they will sell 99 to an average person who will never use 99percent of the ultra feature i would not be surprised if in 2 or 3 year this rugged version becomes the normal version we could see a smaller 44 or 45 mm version for smaller wrist etc stop trying to convince average user that they should buy the se because it is all they will ever need the fact appears to be that the ultra is a good watch better in every way and that is why they will sell million,"['Advertising', 'Design Specifications', 'Software']","[0.6685836315155029, 0.2204674631357193, 0.1109488308429718]",Advertising,"['display', 'battery']",0.6685836315155029
71,nice review now i have to wait till november to get mine that flat display tho velcro strap are the way to go all my casios have velcro and this one will too by 3rd gen this watch will be solar thanks,"['Software', 'Advertising', 'Design Specifications']","[0.453163743019104, 0.35301199555397034, 0.19382432103157043]",Software,['display'],0.453163743019104
72,2 day and night with always on display or without,"['Design Specifications', 'Software', 'Advertising']","[0.35822007060050964, 0.3209194839000702, 0.3208604156970978]",Design Specifications,['display'],0.35822007060050964
73,apple can make regular apple watch with bigger battery and flat display but they will not because all they want is your hard earned money,"['Design Specifications', 'Advertising', 'Software']","[0.4650421440601349, 0.33956992626190186, 0.19538792967796326]",Design Specifications,"['display', 'battery']",0.4650421440601349
74,were you also using always on display when you got 2 5 day out of it thanks,"['Software', 'Design Specifications', 'Advertising']","[0.3785023093223572, 0.3597537577152252, 0.2617439329624176]",Software,['display'],0.3785023093223572
75,this is way smaller and cheaper than my garmin watch i love the way it look and although my garmin epix 2 with oled display can last a full week even with heavy use i really like the look of this watch and the fact that it will complement the rest of the apple ecosystem,"['Design Specifications', 'Software', 'Advertising']","[0.4067888855934143, 0.3155267536640167, 0.27768439054489136]",Design Specifications,['display'],0.4067888855934143
76,i think the apple watch will be a compulsary electronic device in the near future think about these apple glass will be released in 5 year and it is gon na be substitute phone but by the apple glass it can not take a selfie if apple watch have under display camera people can take a selfie by apple watch the size will be bigger than current watch series because battery and physical limitation just a the iphone series wa initially adapted to being larger than 4 inch to 6 inch it will also adapt to the larger watch apple glass itself may not be able to completely replace the phone but i think it will be possible to completely replace it with the help of the apple watch starting with the apple watch ultra more and more function are introduced and i am sure that the apple watch will invade the iphone is territory it is expected that apple glass will be used to consume content such a video viewing social medium and game and the apple watch will be a way to compensate for the shortcoming caused by the physical limitation of glass maybe my expectation are wrong and all function can be integrated with just one apple glass,"['Software', 'Design Specifications', 'Advertising']","[0.4261009693145752, 0.3153950273990631, 0.2585040330886841]",Software,"['display', 'battery']",0.4261009693145752
77,i think the watch ultra 2 may have the promotion display,"['Advertising', 'Software', 'Design Specifications']","[0.7891225814819336, 0.11215857416391373, 0.09871891140937805]",Advertising,['display'],0.7891225814819336
78,i prefer the ultra naming scheme pro professional you do not need to be a professional to use the added feature of the airpods pro or the iphone pro whereas the pro xdr display and pro mac option are built for professional use i think apple should migrate consumer level high end product line to the ultra moniker ultra sound premium and will draw enthusiast without muddying the definition of the word pro,"['Design Specifications', 'Software', 'Advertising']","[0.36608758568763733, 0.34289175271987915, 0.2910206615924835]",Design Specifications,['display'],0.36608758568763733
79,ugly watch i prefer a basic casio digital watch it ha an always on display and a 10 year battery even ha a backlight and best of all it tell the time whenever without pressing button,"['Design Specifications', 'Software', 'Advertising']","[0.4244823455810547, 0.35710784792900085, 0.21840982139110565]",Design Specifications,"['display', 'battery']",0.4244823455810547
