,title,rating,comment,timestamp,Sentiment,Sentiment Confidence Score
21,DONT RISK IT - BROKEN AND NO REFUND - WORST AMAZON EXPERIENCE I'VE EVER HAD,1.0,"I wish I had images- I would have if they had not readily accepted my request to return they day it arrived. This product is advertised as excellent condition- it could not be further from that. To begin, a came with some minor scratches- okay, that's not too big a deal, I'm gonna buy a case for it anyway. Then, as I am setting up the watch , I notice that the screen physically moves into the watch as I press buttons. It was pretty dark in my room, so I turn on the lights, take a closer look and it appears that either A) The screen had come off and they had tried to glue it back together with the equivalent of elementary Elmer's glue OR B) The Apple Watch adhesive had been extremely used and worn out- to the point where the adhesive was ""leaking"" over the edges of the screen- something fatal they failed to inspect. I am almost sure it is the former given that the adhesive seems it was applied as the real apple watch adhesive is located inside the lining of the screen rather than on its outside edges. Obviously, this scenario is far worse and demonstrates the carelessness of this company. This I presume would be a major compromise of the waterproof aspect of the watch as under the screen, all of the mechanics are exposed to the elements. Cases are often not waterproof either for the Apple Watch since the watch itself is already waterproof, so that would not fix the issue. Now, I did request to refund the day of, reporting the exact issue, and wow! They accepted! Happy Ending! Not quite.As you might expect, the customer service was not great either.I will admit that I physically returned it a few weeks after- I was terribly busy and this apple watch that I was already promised a refund for was not at the top of my list of concerns. By the way- the deadline was in late December. I had returned it in the first third of the time they wanted it back. Fast-forward, and I see that they had charged me a ""restocking fee"" of HALF OF PRICE OF THE WATCH. I payed $270 for this ""excellent condition"" device only to be dealt a hole of $135 in the wallet. I was essentially paying to repair the watch, and for them to sell it to another poor soul. The cost to actually repair it is much cheaper by the way, and you could probably do a better job. Nowhere do they mention a restocking fee, especialIy not such a large one. I, obviously angry, had to control myself when talking to their customer service- which was hardly a service and more of an insult. I asked for a full refund in what one would consider polite given the circumstances. Here's the kicker. They had the AUDACITY to claim that I, MYSELF, had broken it because it was not returned immediately after receival. Don't be mistaken, they would likely come up with another excuse to only refund you half of your money even if you returned it earlier than myself. The apple watch was not used a single day after my initial complaint, yet the customer service had the incredible nerve to claim that it was my fault. They somehow believe that I had bought the watch, and planned to break and return it. They genuinely believe that somebody would buy the watch and report damage the day after so that they could use it for a month, THEN break it in the exact way as described, THEN return it. Not even a legitimate scammer would plan that- logically, its just not cost efficient, practical, or useful. The customer service was vague and almost condescending.Just because they have some sort of Amazon Renewed Certification does not mean it will be anywhere close to ""like new"" or excellent folks. You would think that for a company selling the same items tagged in progressively ascending order of quality (They have the same watch at different prices for ""good"" ""Very Good"" and ""Excellent"") would have an at least decent ""Excellent"" option. What an absolute joke and a horrible experience to ruin my week.Just don't risk it. Heads you get an overpriced used Apple Watch. Tails, you dig yourself a $135 hole.","November 11, 2022",NEGATIVE,0.9995560050010681
22,Looks Brand New!,5.0,I love it! it's my first time to order at Amazon Renewed and I was surprised. I didn't expect much but it is like brand new. even the box that came with it looks new. The watch has 0 scratches. Battery life is very good too. Two thumbs up to the seller!,"February 12, 2023",POSITIVE,0.9996142387390137
23,Perfect,5.0,"Bought 4 of these watches.  All of them were cosmetically and functionally perfect.  One watch face started separating a week after christmas.  Seller refunded with no problems, i ordered replacement.","February 20, 2023",NEGATIVE,0.8019093871116638
24,Good Quality watch,5.0,I like it very much. It does everything I need and more. Yes I am very happy with my watch.,"February 24, 2023",POSITIVE,0.9998856782913208
25,Awesome,5.0,Upgraded from series 3 and I’m glad I did. The shipping was very fast. The watch looks brand new with no scratches. Works just like it should so far. Very happy with this watch.,"February 10, 2023",POSITIVE,0.9997645020484924
26,Love it!,5.0,"Long story, but the price of a refurbished Apple 6 Watch was just as much as the Fi… that I returned that was a Christmas gift that didn’t even come close to having all the functions. The battery life is great; I was worried at first, but after each full day of wearing it and playing with it, by bedtime it is usually down between 68% - 64%. It works as describes, connected easy to my phone, and looks great. I don’t wear watches or jewelry to bed so I haven use the the sleep tracking. I’m trying to talk my brother into one from the same suppler. Very happy with it.","January 8, 2023",POSITIVE,0.9771448969841003
27,Hopefully your luck is better than mine...,3.0,"I am trying to buy this for a 3rd time, only because after some looking it seems that each time I have got this it has been from a different seller. The first time the sensor on the back of the watch was cracked really bad, which I'm sure would have voided any waterproof-ness. The second time, my husband synced it and wore it for a day and a half and a bubble had formed in the bottom of the screen. I thought it was the protector that I put on it, but surely enough it was in the actual screen! It felt like it wasn't as flush as it should have been from the get go, but I was blaming it on probably not being the original screen so it wasn't going to feel as perfect as if it were. It also had some dirt/makeup caked in the holes, which I thought was gross and could have been cleaned better.Either way, I am now trying to purchase it for a 3rd time, hopefully 3rd times a charm since they are supposed to be ""excellent"" condition! But if you are going to try for it I would definitely inspect it well before doing too much with it.","December 27, 2022",NEGATIVE,0.9993519186973572
28,Good Value,4.0,Arrived quick with a charger.  Was DOA but after it was charged it was good to go.  Had surface scratches on screen even though listed in excellent condition.  Battery health was at 81%.  Satisfied with purchase based on what I paid,"December 17, 2022",POSITIVE,0.9953672885894775
29,good purchase,4.0,great watch for everyday use,"January 24, 2023",POSITIVE,0.9997944235801697
30,Like New,5.0,"Shipping was fast, I was scared I’d get one of the broken ones but it was in literally pristine condition, no scratches anywhereIt did come in generic packaging with a generic Watch band, but everything else checks out","February 5, 2023",NEGATIVE,0.8613865971565247
31,Satisfied with product exactly what was advertised.,4.0,No Comment,"January 18, 2023",NEGATIVE,0.9760733842849731
32,"Terrible battery health, not in the condition as described",3.0,"I realize this is a refurbished watch, however the battery life when I received it was already poor, and it only lasts a couple of hours on a full charge. There were chips and scratches on the exterior of the watch, and it certainly wasn’t in “excellent” condition as described. Hoping they send me a refund so I can get something different.","March 12, 2023",NEGATIVE,0.9990369081497192
33,K.I.S.S.,5.0,"Its the watch I ordered, It works, and Im happy.","February 16, 2023",POSITIVE,0.9998774528503418
34,It’s good!,4.0,This was my first Apple Watch that I bought and I like it the only problem I have with the watch is that at times when I look at my Watch to see my notifications I’m trying to pull down the notifications or pull up the controls but I can’t. I can push on the button and move the screen around but if I go to the front screen I still can’t pull down the notifications so I have to reset my watch in order to work again and so far it has happen three times since I got it. Overall i like it!,"September 11, 2022",POSITIVE,0.989869236946106
35,great purchase,5.0,"this product came as informed. I bought used and it works great. it had one minor scratch on the screen but it was just a matter of time before i did that anyway. no problems with it at all. it functions perfectly. will buy again this way if needed, but hopefully not for a long long time.yes I was a bit nervous about buying a used or refurbished product, but my last one I actually bought was brand new from apple and they hosed me only lasted 8 months series 3se. so I tried this route and so far so good.best of luck","December 16, 2022",POSITIVE,0.9968468546867371
36,Apple Watch,5.0,My wife love her apple watch.,"February 15, 2023",POSITIVE,0.9997883439064026
37,Great watch,5.0,It came really fast. The charger came with a normal usb plug in so I can hook it into anything I want. Shipping was super fast. It is practically brand new. Couldn’t tell it was a referb. Battery life is at 95% and not a single scratch. I’m beyond happy with my purchase and the shipping.,"January 18, 2023",POSITIVE,0.9796624779701233
38,Would recommend,4.0,The first refurbished item I have ever bought. It is working as expected. It is working great. I would recommend to a friends.,"December 1, 2022",POSITIVE,0.9997476935386658
39,Great product except charger defective.,4.0,Lucky I had a extra charging cable disk or I would have sent back.,"December 8, 2022",NEGATIVE,0.9964799284934998
40,Side button not working,3.0,Side button did not work. Description said excellent condition but was scratched and nicked all over front and sides of watch. Sending back for a refund. Will update on that process.  They refunded purchase in full. It didn't take long.,"February 23, 2023",NEGATIVE,0.9958015084266663
41,Looks and works like new!,5.0,"Thought I'd try an Apple Watch, but didn't want to buy new. This watch arrived well packaged, looks brand new, and works flawlessly. Happy with my first Apple Watch purchase.","January 15, 2023",POSITIVE,0.9998377561569214
42,Works and looks like  a new,5.0,I’ve Apple watches for years. I’m still getting acquainted with some of the new features. Can’t tell it from a brand new watch.,"January 18, 2023",POSITIVE,0.9925698637962341
43,Extremely happy with this purchase,5.0,"I am extremely happy with this purchase. Perfect condition, 100% battery life, and a great value. I would highly recommend.","January 16, 2023",POSITIVE,0.9998483657836914
44,Work,4.0,I like it for the medical stuff,"October 31, 2022",POSITIVE,0.995730459690094
45,This watch looked brand new.,5.0,It only had a tiny little mark on the outside corner.  The face was in perfect condition. It is a beautiful watch.This was a great buy and shipped quick.,"January 6, 2023",POSITIVE,0.9993034601211548
46,Excellent,5.0,Great battery life. Great price,"January 26, 2023",POSITIVE,0.9992693066596985
47,Nice replacement for recalled Fotbit,5.0,"I had a Fitbit Ionic which i loved. I got a recall on it from Amazon due to some battery exploding issues, so i picked this as the replacement and it hasnt let me down. I was only able to get a used one as a replacement though so i dont believe the battery life is good as it should be, but otherwise the device is pretty amazing.","November 22, 2022",POSITIVE,0.9971254467964172
48,Great product,4.0,"Good value for money. Love the watch. Bought “Excellent refurbished “ which is supposed to have a perfect screen, but had one small nick at the top.  Still love the watch. My first Apple Watch.  Will keep.","September 7, 2022",POSITIVE,0.9993146657943726
49,Not the best but still good if on a budget.,4.0,Didn't come in an original apple box or an original apple watch band. There were some scratches on my screen and the battery health for the watch is at 97% maximum capacity on delivery.,"September 3, 2022",NEGATIVE,0.9973483085632324
50,delivered as expected,5.0,It works me as excellent. Battery needs be charged at least once every 24 hours.,"January 1, 2023",POSITIVE,0.9994114637374878
51,item missing,4.0,the sim removable tool didn't came with the product as announced.,"September 23, 2022",NEGATIVE,0.9979138970375061
52,Trash battery,5.0,Battery life sucks but you get what you pay for,"January 3, 2023",NEGATIVE,0.9835309386253357
53,Multiple scratches,3.0,It a working watch that I bought in “excellent condition” but when I took off the screen protector it revealed the scratches they tried to cover up,"December 23, 2022",NEGATIVE,0.9946249127388
54,Nice watch works great,5.0,Works great nice watch,"January 11, 2023",POSITIVE,0.9998551607131958
55,Wow what a device,5.0,"I upgraded from Gen 2 watch and big difference. Not just the size but over all performance and features. Basically after some research why spend the $$ on the latest 7 model when this 6 model does the same thing. Battery is great all day use even with the always on display from 0700 to 2300 no problems, when I turned off the always on display I had more battery still left over.  Now with the 8 model to be release and only add on feather is a temp check, no sir this is the way to go!","July 20, 2022",NEGATIVE,0.969600260257721
56,My first Apple Watch,5.0,"I charge it every night, but I believe that 48 hours would be possible from each charge. The difference between the 45mm for Series 7, and 44mm for this Series 6, is truly not noticeable to me. The watch body arrived in AS NEW condition, in the box it had originally, and with a renewed standard band that I refused to put on the body. I had ordered a heavy stainless band for the watch, and it fit perfectly, and made the watch feel normal on my wrist. I’m frankly using apps on this watch, that I never thought I would, for health, wellness, mindfulness, and activity. I love this Series 6, and the price vs. a Series 7 makes it truly a bargain. Buy one!","March 31, 2022",POSITIVE,0.9945479035377502
57,Not bad for the price,3.0,"Not really complaining, just being honest. Came with a pretty deep and good size scratch across the screen. Had a cheap screen protector on it which hid the scratch pretty well until removed. Definitely a bummer. However, works just fine. Battery seems to be functioning properly, along with all other functions. For the price, the scratch doesn’t necessarily bother me too much. Over all not a bad deal. If anything changes in the next few weeks I’ll edit the review","September 5, 2022",POSITIVE,0.9893404841423035
58,Cheap screen replacement and battery life is low,2.0,"When I got the watch I checked it over, the seals on the outside of the screen were raised (a sign of a cheap screen replacement) along with that the screen itself was plastic, not tempered glass as it should be. Also the max battery life is 80%","March 10, 2023",NEGATIVE,0.9984365105628967
59,Highly recommended,5.0,"I love it!! Came on time, no scratches, came with charger, wrist band and everything!! Looks brand new. It wasn’t charged when I got it, but after being charged it’s working great!! I highly recommend!!","September 30, 2022",POSITIVE,0.9998427629470825
60,Muy bueno,5.0,Excelente y lo mejor,"December 3, 2022",POSITIVE,0.9972705245018005
61,Battery life,5.0,"The product came as advertised!!Shipping was good and on time.. the battery life seems to be kinda short, I can run it through out the day, and by the night when am ready for sleep, it’s still going with about 35%…so not to bad !","September 4, 2022",NEGATIVE,0.9823613166809082
62,Great Purchase,5.0,Very nice watch!!!  We didn't realize we purchase a refurbished but decided to keep it and it's working just like new.  We are satisfied.,"October 12, 2022",POSITIVE,0.9997990727424622
63,pricing,5.0,good value,"December 4, 2022",POSITIVE,0.9998569488525391
64,A great deal with all of the most important features to maintain a healthy lifestyle.,5.0,The watch was purchased to help me maintain a healthy lifestyle.,"November 8, 2022",POSITIVE,0.9686634540557861
65,It tracks the steps and the heart rate perfectly,4.0,"Even though it is used, it works great, only some scratches in the crown, battery came at 97% and with a non-Apple charger, I had to bought one to increase the battery performance.","April 6, 2022",NEGATIVE,0.9454824924468994
66,Everything about the watch is excellent - except...,5.0,"I finally upgraded. I rarely pay retail for things and I don't mind last year's model. I was not disappointed with this I-Watch. It performs and does everything Apple claims it does. However, I'm in my late 50's not my late teens, the green, black and red band is not cool. Don't get fancy, just provide a plain black band in the future.","June 28, 2022",NEGATIVE,0.8440706729888916
67,Mint,5.0,"It is perfect small scratches, buy shield guard n it’s looks brand new out of the box! Ty for my upgraded (new) iwatch","October 1, 2022",NEGATIVE,0.723094642162323
68,Dirty when delivered,3.0,"I got the watch with an off brand charger, usb cord, and it came in a white box unprotected. The back of the watch, on the sensor was COVERED in a sticky substance which took forever to clean. Kind of disappointed for the money I paid for a ""like new"" hopefully refurbished watch.","August 19, 2022",NEGATIVE,0.9992879033088684
69,apple watch series 6 44mm,5.0,was a little skeptical at first but as soon as i got it on i knew it was the real thing!! love love love this watch!! worth the price!!!!,"September 15, 2022",POSITIVE,0.9997618794441223
70,Perfect condition,5.0,"Watch was in perfect shape, connected no problem, and very happy with this upgrade from my Apple Watch 3","October 1, 2022",POSITIVE,0.9997245669364929
71,good at first but then battery issues,3.0,"paired with phone very easily, but short battery life. had to return but other than battery issues nice watch","October 18, 2022",NEGATIVE,0.9863739013671875
72,So far so good,4.0,Just had for a few days but so far in happy with it,"May 10, 2022",POSITIVE,0.9973529577255249
73,It's a Winner!,5.0,Perfect!,"November 14, 2022",POSITIVE,0.9998676776885986
74,Better than I expected,5.0,I absolutely love my watch and I am beyond happy with my purchase.  I'm going to buy one for my sister!,"September 11, 2022",POSITIVE,0.9997544884681702
75,Excellent!!!,5.0,"The Watch is absolutely amazing!!! Thank you, I love it","October 9, 2022",POSITIVE,0.999884843826294
76,Worth it,5.0,"A refurbished Apple Watch. The screen is perfect, no cosmetic damages on the whole watch. It does come in aftermarket packing, which I assume is because it’s refurbished but it’s exactly as described. Ran the serial number to double check and it was a certified apple product. Well worth it. :)","June 4, 2022",POSITIVE,0.998873770236969
77,It is a Apple Watch,5.0,Have to write a review or can’t post itIt is a Apple Watch looked and so far has functioned as new oneUpdate still looking great and going strong if you like apple watches it was a great deal,"July 8, 2022",POSITIVE,0.9996811151504517
78,Not sure about this yet,3.0,Intermittently will not charge and intermittently does not receive text or phone calls verdict is still out but leaning towards returning after spending $291,"September 19, 2022",NEGATIVE,0.9957453608512878
79,"I love my watch, it is what I expected",5.0,"I like it because m, it helps me a lot with my health progress.","September 19, 2022",POSITIVE,0.9997962117195129
80,Apple Watch order,5.0,"I was hesitant to purchase this too good to be true item, but happy to report it was Perfect.  Exactly as described all buttons and touch screen functions work perfectly!  Super great item, even better price and arrived in very short amount of time!! Will do business again!!!","May 23, 2022",POSITIVE,0.9991303086280823
81,Helpful,4.0,A gift,"May 20, 2022",POSITIVE,0.999873161315918
82,Great transaction!,5.0,Great value at a good price!,"October 10, 2022",POSITIVE,0.9998633861541748
83,Apple Watch Series 6 44mm,5.0,Very nifty gadget to carry through my day. Up at 5am to start my charge only taking about 40mins (battery still left over from previous day) and will last me through the night. Allows me to complete my day with the convenience of a glance at the watch and quick talk to text response. Great for someone who likes the modern convenience with a classic customizable interface.,"March 30, 2022",POSITIVE,0.9954590797424316
84,Excellent Purchase,5.0,My watch didn’t come in Apple packaging but that’s to be expected buying refurbished. The screen was free of scratches and it’s performed incredibly well for me. Would purchase over and over!,"July 16, 2022",POSITIVE,0.9992857575416565
85,Cool watch,4.0,Cool watch.I like it.Apple software could use some tweaks though.,"March 26, 2022",POSITIVE,0.9994569420814514
86,Wasn't in as good of condition as stated.,3.0,Pretty sizable and noticeable scratch on watch face.  Was not supposed to have that. Otherwise it works really well.,"August 25, 2022",POSITIVE,0.9983772039413452
87,"Don’t worry, it’s legit.",5.0,"The one I received is basically like new. No issues and works great. Just make sure to leave it on the charger for like 30 minutes right when you get it. Mine was super dead on arrival and I thought it might have been broken. Nope, just drained. It works like a peach.","April 9, 2022",NEGATIVE,0.9905790686607361
88,Anazon needs to check their products more efficiently,2.0,Although the watch was fine the watch band was defective.  I am purchasing another band and hoped amazon would have reimbursed me just for the band I need to buy.  Amazon needs to check their products more efficiently,"January 2, 2023",NEGATIVE,0.9991580247879028
89,Bad good battery condition,2.0,The health battery was not in good condition.,"March 10, 2023",NEGATIVE,0.9997146725654602
90,I have the combination of  a GREAT Apple Watch in a GREAT Invicta band.,4.0,No Comment,"April 6, 2022",NEGATIVE,0.9760733842849731
91,Great!,5.0,The only issue I had with receiving the watch is that the charger it came with didn’t work so I had to buy a new one:( other than that the watch is amazing!!,"June 5, 2022",NEGATIVE,0.9936987161636353
92,"Excellent cosmetic quality of watch, everything else is not Apple",3.0,"This is a high quality used item, with a battery capacity of 94%, so pretty good. However I am extremely disappointed that the charging cable, wall charger, and watch band are after market brands of questionable quality (a new, current-gen Apple Watch comes with Apple accessories, so the worth of the savings here is questionable).","April 13, 2022",NEGATIVE,0.9689260125160217
93,Watch is everything it’s supposed to be I love it!,5.0,The watch is everything it’s supposed to be all functions work great! I couldn’t more satisfied!,"July 22, 2022",POSITIVE,0.9286975264549255
94,5 Stars,5.0,"The watch look and seemed brand new. If you're looking for an electronic product, you should definitely shop with these guys!","June 29, 2022",POSITIVE,0.9975910186767578
95,Excellent conditions!,5.0,No Comment,"September 19, 2022",NEGATIVE,0.9760733842849731
96,Wrong color,3.0,It was the wrong color I wanted space gray and they sent blue but it still looks OK and well it has a few scratches that are kind of minor on the screen but I mean it’ll do for the price and refurbished it works fine too so yea for the price its alright,"April 8, 2022",POSITIVE,0.9955458641052246
97,Not a scam,5.0,Just like new!,"September 1, 2022",POSITIVE,0.9998383522033691
98,Great Buy,5.0,Came real fast and started right up. It was very easy to set up. There was no visible damage or scratches etc. It looks and runs just like it came right from the Apple Store.,"April 1, 2022",NEGATIVE,0.7854467034339905
99,"A day late, but amazing watch",5.0,"I was a bit nervous about the refurb, and it being a day late didn’t help. BUT it arrived in pristine condition—original box, two band sizes, charging cable and a blemish-free watch with 100% battery life!! VERY SATISFIED!","March 17, 2022",POSITIVE,0.9985823631286621
100,Good buy,5.0,"I was a little skeptical, but it was worth it. It was just a little late coming in mail.","May 26, 2022",POSITIVE,0.9559876322746277
101,Apple Watch,5.0,Product was just as described,"August 3, 2022",POSITIVE,0.9485748410224915
102,Scammed! Won’t turn on won’t charge,1.0,Comes in sketch packaging and the ONLY directions in the box are how to return them?!? Like they know they are faulty is the message I got!! It arrives fully dead and tried charging it and got the green screen of death for 48 hours nothing charged no change. Tried draining the battery completely and still same faulty battery. I was skeptical and now I will only buy new!Save your money and time and just get one that actually works!,"February 25, 2023",NEGATIVE,0.9995105266571045
103,Apple series 6 watch,4.0,The watch is very uncomfortable with the band that comes with it. I think it was pricey and a few times the battery life was not the best.,"October 12, 2021",NEGATIVE,0.9995132684707642
104,"Exactly as advertised.  Very happy, I would recommend.",5.0,I was pleased with the ease of purchase and delivery.  item is exactly as described.  I would recommend and I would purchase from seller again.,"April 4, 2022",POSITIVE,0.9998297691345215
105,Wife’s watch,5.0,My wife loves her watch it was a great buy for the price.,"May 14, 2022",POSITIVE,0.9989535808563232
106,Great condition and great value,5.0,The watch was in great condition and was exactly what I wanted for much less than a new one.,"April 15, 2022",NEGATIVE,0.9974877834320068
107,Broken Fall Detector,2.0,"The fall detection goes off nonstop, even while you sit in a chair. I never even got to try the sleep tracking because the watch is so bright even when you lower the brightness. I couldn’t sleep with all that light. The big issue really was the fall detection since it calls 911 and would do it multiple times a day. I had to return the watch it was so bad. Everything else was great though it just wasn’t worth it.","July 16, 2022",NEGATIVE,0.9952738881111145
108,Really impressed with the quality.,5.0,"I was reluctant on purchasing a renewed Apple Watch, but glad I did now.  The watch looks flawless, and the battery life is very strong.  I am very pleased with this purchase.","February 21, 2022",POSITIVE,0.9998379945755005
109,Don’t buy!!,1.0,"Watch came with display screen not flush with the rest of the watch, within days it had air bubbles forming under the screen. I went ahead and returned it and about a week and a half after receiving it thinking I would get a refund. They only refunded me $63 of the $242 that I paid. Upon further investigation they charged me for $179 for them to fix the watch to be able to sell it to the next person. Worst Amazon experience I’ve ever had.","January 28, 2023",NEGATIVE,0.9990559220314026
110,Charger failed within 2 months,4.0,Charger failed after only two months of use. Was hardly moved around.,"November 5, 2021",NEGATIVE,0.9997943043708801
111,Hope You Don't Have to Return This Item,1.0,"After just a month, bubbles developed on the screen of the watch.  At that point, I started the process to return the watch.  I received an email with a full page of instructions including requiring five photos of the watch including the sides (?) of the watch.  I think this is done to make the return process so complicated that you will give up on returning the watch, which I ultimately did.","February 14, 2023",NEGATIVE,0.9977422952651978
112,Just like new,5.0,"This watch is just like new, easy to set up. No problems.","April 29, 2022",POSITIVE,0.9987516403198242
113,Pretty much new,5.0,"Watch was pretty much like new. Came with original box, 2 bands, charging cord, and manuals. Very satisfied with this purchase.","March 21, 2022",POSITIVE,0.9976676106452942
114,Best Apple watch series.,5.0,This watch does everything you would want from a smart watch. Great value for the money.,"April 6, 2022",POSITIVE,0.9990909099578857
115,Apple 6 watch,5.0,Nice watch,"July 4, 2022",POSITIVE,0.9998376369476318
116,I was a bit nervous to buy renewed but it works like a charm. And I saved $200!,5.0,I really like all the health features being able to be in sync and integrated.,"April 9, 2022",POSITIVE,0.9995433688163757
117,Watch was just as discribed !!,5.0,Watch was just as described. Everything on it seems to be working great .definitely would recommend !!,"March 28, 2022",POSITIVE,0.9996215105056763
118,Sleep does not work near as good Fitbit,4.0,Like phone answer and Siri,"November 5, 2021",NEGATIVE,0.9371236562728882
119,Pristine,5.0,Amazing condition for a refurbished. Thank you very much.,"May 9, 2022",POSITIVE,0.9998750686645508
120,Its very old one,1.0,I bought apple watch series 6 but i got very old one battery percentage 88. And also chargers are not apple something local brands i didn’t expect this from amazon US now am going to india i cant return this. Dont buy from this sellers.,"March 9, 2023",NEGATIVE,0.9977957010269165
121,Great experience,5.0,Very impressed. The item was really well packaged and practically looked new.,"April 3, 2022",POSITIVE,0.9998341798782349
122,BROKEN!!! DO NOT BUY from this seller!!!!,1.0,"I purchased this as a Christmas gift and luckily I checked it because it doesn’t work! I went through the whole set up TWICE and the scroll button doesn’t work at all. Do not buy from this seller!!!! The seller said it was in excellent condition but obviously they don’t check their products because it was 100% broken when I received it. The package it came in was not damaged at all and it was not left on the porch… I picked it up immediately all just to be disappointed. Again, DO NOT WASTE YOUR TIME OR MONEY ON THIS SELLER.","December 3, 2022",NEGATIVE,0.9713935852050781
123,Health tracking sensors.,4.0,"The blood oxygen, pulse, and heart rate sensors are very helpful.","September 3, 2021",POSITIVE,0.998577356338501
